moderator_order,moderator_id,moderator_label,moderator_tier,moderator_type,side_label,moderator_value,category_label,observations,ccpp_clusters
1,M01,Log baseline CCPP population,primary,continuous,Above,,All eligible,874,22
1,M01,Log baseline CCPP population,primary,continuous,Below,,All eligible,1832,39
2,M02,District-capital CCPP,primary,binary,Above,0,Non-capital,658,20
2,M02,District-capital CCPP,primary,binary,Above,1,District capital,216,2
2,M02,District-capital CCPP,primary,binary,Below,0,Non-capital,1027,35
2,M02,District-capital CCPP,primary,binary,Below,1,District capital,732,3
4,S01,Baseline CCPP deprivation,secondary,continuous,Above,,All eligible,874,22
4,S01,Baseline CCPP deprivation,secondary,continuous,Below,,All eligible,1832,39
5,S02,Distance to corresponding district capital,secondary,continuous,Above,,All eligible,874,22
5,S02,Distance to corresponding district capital,secondary,continuous,Below,,All eligible,1832,39
6,S03,Baseline CCPP economic development,secondary,continuous,Above,,All eligible,874,22
6,S03,Baseline CCPP economic development,secondary,continuous,Below,,All eligible,1832,39
8,S05,CCPP altitude,secondary,continuous,Above,,All eligible,874,22
8,S05,CCPP altitude,secondary,continuous,Below,,All eligible,1832,39
