outcome_id,outcome_label,paper_order,moderator_id,moderator_label,moderator_order,moderator_tier,value_label,raw_value,standardized_value,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,gate_pass,gate_status
I06,Any health insurance,6,S03,Baseline CCPP economic development,6,secondary,P50,5.980455964725628,.02264205,-17.244085,17.912479,.33570537,-52.351898,17.863729,32.019386,-.53855139,-1.6350064,.55790359,0,underidentified
I06,Any health insurance,6,S03,Baseline CCPP economic development,6,secondary,P75,6.597122200211138,.49126303,-29.211969,29.221891,.31747484,-86.485825,28.061886,32.019386,-.91232139,-2.7010458,.87640297,0,underidentified
I07,Reports any disability,7,S03,Baseline CCPP economic development,6,secondary,P25,5.187548856490475,-.57990903,-10.378241,7.4144187,.16159192,-24.910233,4.1537528,38.063755,-.27265415,-.6544345,.1091262,0,underidentified
I07,Reports any disability,7,S03,Baseline CCPP economic development,6,secondary,P50,5.980455964725628,.02264205,-12.519941,12.521944,.31738794,-37.0625,12.022618,38.063755,-.3289203,-.9736954,.31585479,0,underidentified
I07,Reports any disability,7,S03,Baseline CCPP economic development,6,secondary,P75,6.597122200211138,.49126303,-14.185602,19.197367,.4599466,-51.811749,23.440546,38.063755,-.37268007,-1.3611834,.61582327,0,underidentified
I08,Core wellbeing proxy,8,S03,Baseline CCPP economic development,6,secondary,P25,5.187548856490475,-.57990903,7.9447584,9.9885836,.42639023,-11.632505,27.522022,23.535637,.33756292,-.49425071,1.1693766,0,underidentified
I08,Core wellbeing proxy,8,S03,Baseline CCPP economic development,6,secondary,P50,5.980455964725628,.02264205,23.102833,21.412743,.28061929,-18.865372,65.071037,23.535637,.98161072,-.80156624,2.7647877,0,underidentified
I08,Core wellbeing proxy,8,S03,Baseline CCPP economic development,6,secondary,P75,6.597122200211138,.49126303,34.891697,33.852016,.30267566,-31.457035,101.24043,23.535637,1.4825048,-1.3365704,4.30158,0,underidentified
I01,Female,1,S04,Respondent age,7,secondary,P25,23,-.88949144,8.7967052,6.6694031,.18718103,-4.275085,21.868494,49.732925,.1768789,-.08596085,.43971863,1,pass
I01,Female,1,S04,Respondent age,7,secondary,P50,38,-.1039706,6.7173171,4.2882314,.11724238,-1.6874621,15.122096,49.732925,.13506781,-.03393048,.30406609,1,pass
I01,Female,1,S04,Respondent age,7,secondary,P75,53,.68155026,4.637929,3.814532,.22403905,-2.8384163,12.114275,49.732925,.093256712,-.057073183,.2435866,1,pass
I02,Age 15-29,2,S04,Respondent age,7,secondary,P25,23,-.88949144,2.80128,7.1224971,.6940977,-11.158558,16.761118,46.107304,.06075567,-.24201281,.36352417,1,pass
I02,Age 15-29,2,S04,Respondent age,7,secondary,P50,38,-.1039706,2.0642748,4.7118502,.66131175,-7.1707821,11.299332,46.107304,.044771101,-.15552378,.24506599,1,pass
I02,Age 15-29,2,S04,Respondent age,7,secondary,P75,53,.68155026,1.3272694,4.1514692,.74918759,-6.8094611,9.4639997,46.107304,.028786534,-.14768726,.20526032,1,pass
I03,Lives in another CCPP,3,S04,Respondent age,7,secondary,P25,23,-.88949144,48.734325,20.684734,.0184703,8.1929893,89.275658,49.802853,.97854483,.16450843,1.7925812,1,pass
I03,Lives in another CCPP,3,S04,Respondent age,7,secondary,P50,38,-.1039706,44.427296,19.593615,.023363512,6.024518,82.830078,49.802853,.89206326,.12096732,1.6631593,1,pass
