outcome_id,outcome_label,paper_order,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,kp_f,underid_p,ar_p,n_left,n_right,clusters,gate_pass,gate_status,estimation_rc
P01,Log rostered population,1,.70430166,1.2019637,.55790293,-1.6515039,3.0601072,1.1517433,.6115092,-1.4339167,2.656935,5.7655406,.05560378,.53536409,43,22,45,0,underidentified,0
P02,Log rostered households,2,.63783932,1.0903124,.55854362,-1.4991336,2.7748122,1.0373689,.61486256,-1.4451306,2.6748557,5.7655406,.05560378,.52606165,43,22,45,0,underidentified,0
P03,Residents age 15-29,3,-23.600971,14.774205,.11016669,-52.55788,5.3559394,13.53303,-1.7439532,-3.8836744,.39576796,5.7655406,.05560378,.09331093,43,22,45,0,underidentified,0
P04,Residents in any social program,4,6.6169868,17.963068,.71260023,-28.589979,41.823952,13.938599,.47472394,-2.0511372,3.0005851,5.7655406,.05560378,.72982609,43,22,45,0,underidentified,0
P05,Core wellbeing proxy,5,-4.4800534,10.917698,.6815508,-25.878347,16.91824,12.264152,-.36529666,-2.1100805,1.3794873,5.7655406,.05560378,.68554616,43,22,45,0,underidentified,0
P06,Households with any unmet basic need,6,10.307299,24.316267,.67164975,-37.351707,57.966305,28.377171,.36322501,-1.316259,2.0427091,5.7655406,.05560378,.65854824,43,22,45,0,underidentified,0
P07,Labor-force participation,7,12.467406,13.868301,.36866021,-14.713964,39.648777,14.978951,.83232844,-.98230946,2.6469662,5.7655406,.05560378,.31733063,43,22,45,0,underidentified,0
P08,Secondary education or higher,8,-17.346113,17.258049,.31484735,-51.171268,16.479042,15.745008,-1.1016897,-3.2499995,1.04662,5.7655406,.05560378,.27952912,43,22,45,0,underidentified,0
