outcome_id,outcome_var,outcome_label,paper_order,scale,moderator_id,moderator_label,moderator_order,moderator_tier,moderator_type,spec_id,estimator,estimand,weighting,cluster_rule,h,n_left,n_right,ccpp_left,ccpp_right,min_obs_cell,min_cluster_cell,clusters,support_pass,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,kp_f,sw_f_treat,sw_f_interaction,min_sw_f,underid_p,ar_p,gate_pass,gate_status,estimation_rc,p_holm,q_bh
H07,hh_share_disability_2017,Members reporting disability,7,100,S03,Baseline CCPP economic development,6,secondary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,1708,874,37,22,874,22,59,1,-4.7466993,10.925591,.66395664,-26.160463,16.667067,34.244286,-.13861288,-.76393664,.48671088,1.7809496,6.1479497,3.6961558,3.6961558,.04920176,.60922384,0,weak_interaction_instruments,0,,
H07,hh_share_disability_2017,Members reporting disability,7,100,S03,Baseline CCPP economic development,6,secondary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,1832,874,39,22,874,22,61,1,-16.230968,19.48391,.40481952,-54.418732,21.956795,34.304295,-.47314686,-1.5863534,.64005965,1.3063004,4.0308733,2.8250494,2.8250494,.053757016,.34231412,0,underidentified,0,,.7939233426694516
H07,hh_share_disability_2017,Members reporting disability,7,100,S03,Baseline CCPP economic development,6,secondary,continuous,common_h_rdhte,rdhte,assignment_hte,ccpp_equal,ccpp,.0075,1832,874,39,22,874,22,61,1,-4.143023,10.385798,.6899578,-24.498812,16.212767,34.304295,-.12077272,-.71416169,.47261623,,,,,,,0,secondary_assignment_supported,0,,.8177277600323712
H08,hh_wellbeing_core_2017,Core household wellbeing proxy,8,100,S03,Baseline CCPP economic development,6,secondary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,1708,874,37,22,874,22,59,1,18.653727,17.950844,.29873222,-16.529282,53.836735,20.842146,.89500028,-.79307008,2.5830705,1.7809496,6.1479497,3.6961558,3.6961558,.04920176,.3204053,0,weak_interaction_instruments,0,,
H08,hh_wellbeing_core_2017,Core household wellbeing proxy,8,100,S03,Baseline CCPP economic development,6,secondary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,1832,874,39,22,874,22,61,1,26.853733,29.572607,.36384594,-31.107512,84.81498,20.74766,1.2943017,-1.4993262,4.0879297,1.3063004,4.0308733,2.8250494,2.8250494,.053757016,.2708725,0,underidentified,0,,.7939233426694516
H08,hh_wellbeing_core_2017,Core household wellbeing proxy,8,100,S03,Baseline CCPP economic development,6,secondary,continuous,common_h_rdhte,rdhte,assignment_hte,ccpp_equal,ccpp,.0075,1832,874,39,22,874,22,61,1,-1.716369,14.333213,.90468305,-29.80895,26.376213,20.74766,-.082725912,-1.436738,1.2712861,,,,,,,0,secondary_assignment_supported,0,,.9634336656139743
H01,hh_share_female_2017,Female household members,1,100,S05,CCPP altitude,8,secondary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,1708,874,37,22,874,22,59,1,-50.343605,118.44356,.67080534,-282.48871,181.8015,30.648737,-1.6425997,-9.2169771,5.931778,.11671758,.24992858,.2375242,.2375242,.59048843,.0036629108,0,underidentified,0,,
H01,hh_share_female_2017,Female household members,1,100,S05,CCPP altitude,8,secondary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,1759,874,38,22,874,22,60,1,-48.600189,103.10669,.63738495,-250.68559,153.48521,30.570131,-1.5897933,-8.2003441,5.0207577,.14085649,.28787121,.28157476,.28157476,.56399828,.0019867322,0,underidentified,0,,.7939233426694516
H01,hh_share_female_2017,Female household members,1,100,S05,CCPP altitude,8,secondary,continuous,common_h_rdhte,rdhte,assignment_hte,ccpp_equal,ccpp,.0075,1759,874,38,22,874,22,60,1,1.3400614,3.0983655,.66537374,-4.7326236,7.4127464,30.570131,.043835647,-.15481202,.24248332,,,,,,,0,secondary_assignment_supported,0,,.8177277600323712
H02,hh_share_age_15_29_2017,Household members age 15-29,2,100,S05,CCPP altitude,8,secondary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,1708,874,37,22,874,22,59,1,-130.44507,291.52023,.65453941,-701.81427,440.9241,27.156515,-4.8034544,-25.843311,16.236403,.11671758,.24992858,.2375242,.2375242,.59048843,.024718108,0,underidentified,0,,
