outcome_id,outcome_label,paper_order,moderator_id,moderator_label,moderator_tier,value_label,raw_value,standardized_value,estimate,standard_error,pvalue,ci_low,ci_high,gate_pass,gate_status
P03,Residents age 15-29,3,S01,Baseline CCPP deprivation,secondary,P75,.766946150212565,.71164012,-27.686735,15.000389,.064930759,-57.086956,1.7134864,0,weak_interaction_instruments
P04,Residents in any social program,4,S01,Baseline CCPP deprivation,secondary,P25,.6211890243902439,-.55887467,-19.610584,30.642302,.52218294,-79.668396,40.447224,0,weak_interaction_instruments
P04,Residents in any social program,4,S01,Baseline CCPP deprivation,secondary,P50,.6902332144979204,.042959813,-5.18328,21.830914,.8123244,-47.971085,37.604527,0,weak_interaction_instruments
P04,Residents in any social program,4,S01,Baseline CCPP deprivation,secondary,P75,.766946150212565,.71164012,10.846467,16.459656,.50991315,-21.413864,43.106796,0,weak_interaction_instruments
P05,Core wellbeing proxy,5,S01,Baseline CCPP deprivation,secondary,P25,.6211890243902439,-.55887467,.81995517,16.706091,.96085459,-31.923382,33.563293,0,weak_interaction_instruments
P05,Core wellbeing proxy,5,S01,Baseline CCPP deprivation,secondary,P50,.6902332144979204,.042959813,-2.1092806,12.450451,.86547101,-26.511717,22.293156,0,weak_interaction_instruments
P05,Core wellbeing proxy,5,S01,Baseline CCPP deprivation,secondary,P75,.766946150212565,.71164012,-5.3638668,8.972784,.54997814,-22.950201,12.222467,0,weak_interaction_instruments
P06,Households with any unmet basic need,6,S01,Baseline CCPP deprivation,secondary,P25,.6211890243902439,-.55887467,32.100204,63.838463,.61508036,-93.020882,157.2213,0,weak_interaction_instruments
P06,Households with any unmet basic need,6,S01,Baseline CCPP deprivation,secondary,P50,.6902332144979204,.042959813,22.905056,42.205631,.58733541,-59.816463,105.62657,0,weak_interaction_instruments
P06,Households with any unmet basic need,6,S01,Baseline CCPP deprivation,secondary,P75,.766946150212565,.71164012,12.688602,21.127766,.54812956,-28.721058,54.098263,0,weak_interaction_instruments
P07,Labor-force participation,7,S01,Baseline CCPP deprivation,secondary,P25,.6211890243902439,-.55887467,37.042206,35.441452,.29594618,-32.421764,106.50617,0,weak_interaction_instruments
P07,Labor-force participation,7,S01,Baseline CCPP deprivation,secondary,P50,.6902332144979204,.042959813,24.893591,24.066015,.30095494,-22.274933,72.062119,0,weak_interaction_instruments
P07,Labor-force participation,7,S01,Baseline CCPP deprivation,secondary,P75,.766946150212565,.71164012,11.395628,13.714495,.40601963,-15.484287,38.275543,0,weak_interaction_instruments
P08,Secondary education or higher,8,S01,Baseline CCPP deprivation,secondary,P25,.6211890243902439,-.55887467,-45.96582,44.184334,.29819155,-132.56552,40.633884,0,weak_interaction_instruments
P08,Secondary education or higher,8,S01,Baseline CCPP deprivation,secondary,P50,.6902332144979204,.042959813,-32.845169,29.870268,.27150905,-91.389816,25.699482,0,weak_interaction_instruments
P08,Secondary education or higher,8,S01,Baseline CCPP deprivation,secondary,P75,.766946150212565,.71164012,-18.267208,17.329348,.29182807,-52.232105,15.697688,0,weak_interaction_instruments
P01,Log rostered population,1,S02,Distance to corresponding district capital,secondary,P25,1.053072171874275,-.62257594,-2.4703171,3.3885272,.46598706,-9.1117086,4.1710739,0,underidentified
P01,Log rostered population,1,S02,Distance to corresponding district capital,secondary,P50,1.697138367819131,.071245395,-.63901186,1.7034745,.70756924,-3.9777606,2.6997368,0,underidentified
P01,Log rostered population,1,S02,Distance to corresponding district capital,secondary,P75,2.278341839854977,.69734776,1.0135527,1.7179217,.55519891,-2.353512,4.3806171,0,underidentified
P02,Log rostered households,2,S02,Distance to corresponding district capital,secondary,P25,1.053072171874275,-.62257594,-2.4481461,3.0410635,.42080259,-8.4085217,3.512229,0,underidentified
P02,Log rostered households,2,S02,Distance to corresponding district capital,secondary,P50,1.697138367819131,.071245395,-.67576748,1.4821678,.64843899,-3.5807631,2.2292283,0,underidentified
P02,Log rostered households,2,S02,Distance to corresponding district capital,secondary,P75,2.278341839854977,.69734776,.92362195,1.6378814,.57281357,-2.2865665,4.1338105,0,underidentified
P03,Residents age 15-29,3,S02,Distance to corresponding district capital,secondary,P25,1.053072171874275,-.62257594,-53.94693,44.052536,.22072431,-140.28831,32.394455,0,underidentified
P03,Residents age 15-29,3,S02,Distance to corresponding district capital,secondary,P50,1.697138367819131,.071245395,-32.23085,24.167213,.18231526,-79.597717,15.136019,0,underidentified
P03,Residents age 15-29,3,S02,Distance to corresponding district capital,secondary,P75,2.278341839854977,.69734776,-12.634322,14.284273,.37643081,-40.630981,15.362338,0,underidentified
P04,Residents in any social program,4,S02,Distance to corresponding district capital,secondary,P25,1.053072171874275,-.62257594,55.481567,48.842453,.25598618,-40.247879,151.21101,0,underidentified
P04,Residents in any social program,4,S02,Distance to corresponding district capital,secondary,P50,1.697138367819131,.071245395,23.720848,25.436975,.35106057,-26.13471,73.576408,0,underidentified
P04,Residents in any social program,4,S02,Distance to corresponding district capital,secondary,P75,2.278341839854977,.69734776,-4.9399357,23.082706,.83053905,-50.181206,40.301334,0,underidentified
P05,Core wellbeing proxy,5,S02,Distance to corresponding district capital,secondary,P25,1.053072171874275,-.62257594,-51.024338,38.810551,.18860982,-127.09162,25.042944,0,underidentified
P05,Core wellbeing proxy,5,S02,Distance to corresponding district capital,secondary,P50,1.697138367819131,.071245395,-21.681576,18.254866,.23494576,-57.460457,14.097304,0,underidentified
P05,Core wellbeing proxy,5,S02,Distance to corresponding district capital,secondary,P75,2.278341839854977,.69734776,4.7972493,16.763489,.774746,-28.058584,37.653084,0,underidentified
P06,Households with any unmet basic need,6,S02,Distance to corresponding district capital,secondary,P25,1.053072171874275,-.62257594,-11.022694,44.125423,.80273914,-97.506935,75.461548,0,underidentified
P06,Households with any unmet basic need,6,S02,Distance to corresponding district capital,secondary,P50,1.697138367819131,.071245395,2.059804,22.195959,.92606175,-41.443478,45.563084,0,underidentified
