paper_order,outcome_id,outcome_var,outcome_label,scale,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,kp_f,underid_p,gate_pass,gate_status,estimation_rc,adjusted_pvalue
1,P01,ln_population_2017,Log 2017 CCPP population,1,-.71832144,.45539328,.11471156,-1.610876,.174233,1.2144611,-.59147346,-1.3264122,.1434653,13.896422,.0096586207,1,exploratory_gate_pass,0,.4274235566457112
2,P02,ln_dwellings_occupied_2017,Log occupied dwellings in 2017,1,-.58216619,.41461354,.16028383,-1.3947939,.23046145,1.0562805,-.55114734,-1.3204768,.21818206,13.896422,.0096586207,1,exploratory_gate_pass,0,.4274235566457112
3,P03,cpv2017_share_moved_ccpp,Residents living in another CCPP,100,7.8550401,9.0411301,.38495013,-9.8652496,25.575331,15.4445,.50859791,-.6387549,1.6559507,13.896422,.0096586207,1,exploratory_gate_pass,0,.7699002623558044
4,P04,share_age_15_29_2017,Residents age 15-29,100,-2.1595438,3.202791,.50014007,-8.4368992,4.1178112,5.4066553,-.39942327,-1.5604655,.76161897,13.896422,.0096586207,1,exploratory_gate_pass,0,.8002241134643555
5,P05,cpv2017_share_secondary_age14,Secondary education or higher,100,2.9043522,5.8146329,.61743408,-8.4921188,14.300823,13.622164,.21320784,-.62340456,1.0498202,13.896422,.0096586207,1,exploratory_gate_pass,0,.8082334399223328
6,P06,cpv2017_share_employed_age14,Employed residents,100,-13.334664,6.2929993,.034093164,-25.668716,-1.0006127,15.384086,-.86678302,-1.668524,-.065042064,13.896422,.0096586207,1,exploratory_gate_pass,0,.2727453112602234
7,P07,cpv2017_share_insured,Residents with health insurance,100,.72160321,2.6238687,.78330475,-4.4210849,5.8642917,7.1941752,.10030381,-.61453676,.81514436,13.896422,.0096586207,1,exploratory_gate_pass,0,.8082334399223328
8,P08,wellbeing_core_2017,Core wellbeing proxy,100,1.1589524,4.775135,.80823344,-8.200141,10.518045,10.6624,.10869525,-.76907074,.98646128,13.896422,.0096586207,1,exploratory_gate_pass,0,.8082334399223328
