outcome_id,outcome_var,outcome_label,paper_order,scale,moderator_id,moderator_label,moderator_order,moderator_tier,moderator_type,spec_id,estimator,estimand,weighting,cluster_rule,h,n_left,n_right,ccpp_left,ccpp_right,min_obs_cell,min_cluster_cell,clusters,support_pass,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,kp_f,sw_f_treat,sw_f_interaction,min_sw_f,underid_p,ar_p,gate_pass,gate_status,estimation_rc,p_holm,q_bh
P02,ln_dwellings_occupied_2017,Log occupied dwellings in 2017,2,1,S05,CCPP altitude,8,secondary,continuous,common_h_rdhte,rdhte,assignment_hte,community_equal,district,.0075,38,21,38,21,21,21,42,1,.06114411,1.0233239,.95235437,-1.9445338,2.0668221,.97195786,.062908195,-2.0006359,2.1264522,,,,,,,0,secondary_assignment_supported,0,,.9830754803073022
P03,cpv2017_share_moved_ccpp,Residents living in another CCPP,3,100,S05,CCPP altitude,8,secondary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,community_equal,district,.0075,37,21,37,21,21,21,41,1,-12.114453,12.451061,.33057043,-36.518085,12.289179,18.46479,-.656084,-1.9777145,.6655466,2.5753956,51.057293,4.8012695,4.8012695,.015015284,.15494449,0,weak_interaction_instruments,0,,
P03,cpv2017_share_moved_ccpp,Residents living in another CCPP,3,100,S05,CCPP altitude,8,secondary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,community_equal,district,.0075,38,21,38,21,21,21,42,1,-16.023958,14.91041,.2825169,-45.247826,13.19991,18.468977,-.86761481,-2.4499369,.7147072,3.1492515,58.309689,5.919517,5.919517,.015075316,.14916761,0,weak_interaction_instruments,0,,.5650337934494019
P03,cpv2017_share_moved_ccpp,Residents living in another CCPP,3,100,S05,CCPP altitude,8,secondary,continuous,common_h_rdhte,rdhte,assignment_hte,community_equal,district,.0075,38,21,38,21,21,21,42,1,10.060599,29.032038,.72894114,-46.841148,66.962349,18.468977,.54472965,-2.5362072,3.6256664,,,,,,,0,secondary_assignment_supported,0,,.8874368314389829
P04,share_age_15_29_2017,Residents age 15-29,4,100,S05,CCPP altitude,8,secondary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,community_equal,district,.0075,37,21,37,21,21,21,41,1,.65008909,6.9948869,.92595303,-13.059637,14.359815,5.0901403,.12771535,-2.5656731,2.8211038,2.5753956,51.057293,4.8012695,4.8012695,.015015284,.71296698,0,weak_interaction_instruments,0,,
P04,share_age_15_29_2017,Residents age 15-29,4,100,S05,CCPP altitude,8,secondary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,community_equal,district,.0075,38,21,38,21,21,21,42,1,3.5817542,7.2246428,.6200574,-10.578285,17.741795,5.0588646,.70801544,-2.0910397,3.5070705,3.1492515,58.309689,5.919517,5.919517,.015075316,.51883197,0,weak_interaction_instruments,0,,.8099812727708083
P04,share_age_15_29_2017,Residents age 15-29,4,100,S05,CCPP altitude,8,secondary,continuous,common_h_rdhte,rdhte,assignment_hte,community_equal,district,.0075,38,21,38,21,21,21,42,1,-5.3092489,16.578176,.74877483,-37.80188,27.183382,5.0588646,-1.0494943,-7.472404,5.3734155,,,,,,,0,secondary_assignment_supported,0,,.8874368314389829
P05,cpv2017_share_secondary_age14,Secondary education or higher,5,100,S05,CCPP altitude,8,secondary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,community_equal,district,.0075,37,21,37,21,21,21,41,1,-22.239048,14.029216,.11292195,-49.735806,5.2577095,13.081304,-1.7000635,-3.8020525,.40192547,2.5753956,51.057293,4.8012695,4.8012695,.015015284,.29182678,0,weak_interaction_instruments,0,,
P05,cpv2017_share_secondary_age14,Secondary education or higher,5,100,S05,CCPP altitude,8,secondary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,community_equal,district,.0075,38,21,38,21,21,21,42,1,-18.521181,13.040537,.15552689,-44.080166,7.0378008,13.052844,-1.4189385,-3.3770545,.5391776,3.1492515,58.309689,5.919517,5.919517,.015075316,.39876693,0,weak_interaction_instruments,0,,.4953494707743327
P05,cpv2017_share_secondary_age14,Secondary education or higher,5,100,S05,CCPP altitude,8,secondary,continuous,common_h_rdhte,rdhte,assignment_hte,community_equal,district,.0075,38,21,38,21,21,21,42,1,-27.852974,26.283346,.28927222,-79.367386,23.661436,13.052844,-2.1338625,-6.0804672,1.8127419,,,,,,,0,secondary_assignment_supported,0,,.8415191823785956
P06,cpv2017_share_employed_age14,Employed residents,6,100,S05,CCPP altitude,8,secondary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,community_equal,district,.0075,37,21,37,21,21,21,41,1,-13.301396,12.729345,.29605091,-38.250454,11.647662,15.160307,-.87738305,-2.523066,.76829994,2.5753956,51.057293,4.8012695,4.8012695,.015015284,.046031937,0,weak_interaction_instruments,0,,
P06,cpv2017_share_employed_age14,Employed residents,6,100,S05,CCPP altitude,8,secondary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,community_equal,district,.0075,38,21,38,21,21,21,42,1,-14.308215,11.943511,.23092066,-37.717068,9.1006374,15.086005,-.94844294,-2.5001361,.60325032,3.1492515,58.309689,5.919517,5.919517,.015075316,.034824405,0,weak_interaction_instruments,0,,.4953494707743327
P06,cpv2017_share_employed_age14,Employed residents,6,100,S05,CCPP altitude,8,secondary,continuous,common_h_rdhte,rdhte,assignment_hte,community_equal,district,.0075,38,21,38,21,21,21,42,1,-12.158188,18.152161,.50298983,-47.735767,23.419394,15.086005,-.80592495,-3.1642418,1.5523919,,,,,,,0,secondary_assignment_supported,0,,.8874368314389829
P07,cpv2017_share_insured,Residents with health insurance,7,100,S05,CCPP altitude,8,secondary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,community_equal,district,.0075,37,21,37,21,21,21,41,1,5.9703355,5.0914888,.24095185,-4.0087996,15.949471,6.6153955,.90249115,-.60598034,2.4109626,2.5753956,51.057293,4.8012695,4.8012695,.015015284,.57855445,0,weak_interaction_instruments,0,,
P07,cpv2017_share_insured,Residents with health insurance,7,100,S05,CCPP altitude,8,secondary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,community_equal,district,.0075,38,21,38,21,21,21,42,1,4.2532487,4.955266,.39071083,-5.4588947,13.965391,6.531899,.65115035,-.83572853,2.1380293,3.1492515,58.309689,5.919517,5.919517,.015075316,.74130517,0,weak_interaction_instruments,0,,.6325880527496338
P07,cpv2017_share_insured,Residents with health insurance,7,100,S05,CCPP altitude,8,secondary,continuous,common_h_rdhte,rdhte,assignment_hte,community_equal,district,.0075,38,21,38,21,21,21,42,1,1.3490084,8.3211546,.87121296,-14.960155,17.658171,6.531899,.20652622,-2.2903223,2.7033749,,,,,,,0,secondary_assignment_supported,0,,.9292938232421875
P08,wellbeing_core_2017,Core wellbeing proxy,8,100,S05,CCPP altitude,8,secondary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,community_equal,district,.0075,37,21,37,21,21,21,41,1,-24.325584,6.9601364,.00047408495,-37.967201,-10.683969,9.9249773,-2.4509461,-3.8254194,-1.0764729,2.5753956,51.057293,4.8012695,4.8012695,.015015284,.075018369,0,weak_interaction_instruments,0,,
P08,wellbeing_core_2017,Core wellbeing proxy,8,100,S05,CCPP altitude,8,secondary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,community_equal,district,.0075,38,21,38,21,21,21,42,1,-18.815273,6.566268,.0041642492,-31.684921,-5.9456244,10.011781,-1.8793135,-3.1647639,-.59386283,3.1492515,58.309689,5.919517,5.919517,.015075316,.039365008,0,weak_interaction_instruments,0,,.0756126890579859
P08,wellbeing_core_2017,Core wellbeing proxy,8,100,S05,CCPP altitude,8,secondary,continuous,common_h_rdhte,rdhte,assignment_hte,community_equal,district,.0075,38,21,38,21,21,21,42,1,-24.214931,12.448866,.051756736,-48.614258,.1843973,10.011781,-2.4186437,-4.8557057,.018418033,,,,,,,0,secondary_assignment_supported,0,,.2990185618400574
