prc_project_group,project_group_label,project_records,communities,recorded_financing,record_share_pct,financing_share_pct,total_project_records,total_recorded_financing
1,Productive and livelihood,106,106,11924951.65,53.26633165829146,50.1954063739953,199,23757057.69
2,Social and basic services,41,41,4701177.25,20.60301507537688,19.78855004413638,199,23757057.69
3,Community and civic infrastructure,35,35,5126111.579999999,17.58793969849246,21.57721569265592,199,23757057.69
4,Management and capacity support,17,17,2004817.21,8.542713567839195,8.438827889212403,199,23757057.69
