outcome_id,outcome_label,paper_order,moderator_id,moderator_label,moderator_order,moderator_tier,value_label,raw_value,standardized_value,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,gate_pass,gate_status
I01,Female,1,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.59157062,-5.9388609,5.7317972,.30014363,-17.172977,5.2952552,49.92347,-.11895929,-.34398603,.10606745,0,underidentified
I01,Female,1,M01,Log baseline CCPP population,1,primary,P50,5.159055299214529,-.0041603837,3.1851959,7.7099929,.67951453,-11.926113,18.296505,49.92347,.063801572,-.23888791,.36649105,0,underidentified
I01,Female,1,M01,Log baseline CCPP population,1,primary,P75,5.717027701406222,.53742981,11.597545,13.115705,.37656197,-14.108764,37.303852,49.92347,.23230647,-.28260782,.74722075,0,underidentified
I02,Age 15-29,2,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.59157062,-32.242367,19.060102,.090719305,-69.59948,5.1147494,45.775349,-.7043609,-1.5204576,.11173589,0,underidentified
I02,Age 15-29,2,M01,Log baseline CCPP population,1,primary,P50,5.159055299214529,-.0041603837,-3.892698,18.376793,.83224213,-39.910549,32.125156,45.775349,-.085039176,-.87187862,.70180029,0,underidentified
I02,Age 15-29,2,M01,Log baseline CCPP population,1,primary,P75,5.717027701406222,.53742981,22.245598,31.642462,.4820371,-39.772488,84.263687,45.775349,.4859733,-.86886257,1.8408092,0,underidentified
I03,Secondary education or higher,3,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.59157062,-15.561881,12.375553,.20858368,-39.81752,8.693758,49.444603,-.31473365,-.80529559,.17582826,0,underidentified
I03,Secondary education or higher,3,M01,Log baseline CCPP population,1,primary,P50,5.159055299214529,-.0041603837,-9.358305,16.98978,.58175731,-42.657661,23.941051,49.444603,-.18926848,-.8627364,.48419946,0,underidentified
I03,Secondary education or higher,3,M01,Log baseline CCPP population,1,primary,P75,5.717027701406222,.53742981,-3.6386297,27.22369,.89367402,-56.996082,49.718822,49.444603,-.073590025,-1.1527261,1.005546,0,underidentified
I04,Employed in the preceding month,4,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.59157062,7.6997404,7.3283181,.2934041,-6.6634989,22.062979,49.91423,.15425943,-.13349898,.44201782,0,underidentified
I04,Employed in the preceding month,4,M01,Log baseline CCPP population,1,primary,P50,5.159055299214529,-.0041603837,22.098175,15.729152,.16004553,-8.7303963,52.926746,49.91423,.44272295,-.17490795,1.0603539,0,underidentified
I04,Employed in the preceding month,4,M01,Log baseline CCPP population,1,primary,P75,5.717027701406222,.53742981,35.373482,26.943605,.18922636,-17.435013,88.181976,49.91423,.70868534,-.34929943,1.7666701,0,underidentified
I05,Independent worker,5,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.59157062,1.9056519,8.3926516,.82037556,-14.543643,18.354946,49.795662,.038269434,-.29206645,.36860535,0,underidentified
I05,Independent worker,5,M01,Log baseline CCPP population,1,primary,P50,5.159055299214529,-.0041603837,17.137302,18.283558,.34860078,-18.697813,52.97242,49.795662,.34415254,-.37549081,1.0637958,0,underidentified
I05,Independent worker,5,M01,Log baseline CCPP population,1,primary,P75,5.717027701406222,.53742981,31.180834,31.028463,.31493989,-29.633837,91.995506,49.795662,.6261757,-.59510881,1.8474602,0,underidentified
I06,Any health insurance,6,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.59157062,-22.841948,27.793539,.41116577,-77.316284,31.632387,35.882141,-.63658267,-2.1547289,.88156354,0,underidentified
I06,Any health insurance,6,M01,Log baseline CCPP population,1,primary,P50,5.159055299214529,-.0041603837,-11.146328,26.373102,.67255795,-62.836658,40.544003,35.882141,-.31063724,-1.751196,1.1299216,0,underidentified
I06,Any health insurance,6,M01,Log baseline CCPP population,1,primary,P75,5.717027701406222,.53742981,-.3630071,44.407955,.99347788,-87.401001,86.674988,35.882141,-.010116652,-2.43578,2.4155469,0,underidentified
I07,Any listed social program,7,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.59157062,13.93314,11.866604,.24033605,-9.324975,37.191254,42.828854,.32532132,-.21772647,.8683691,0,underidentified
I07,Any listed social program,7,M01,Log baseline CCPP population,1,primary,P50,5.159055299214529,-.0041603837,7.3719225,15.230151,.62836123,-22.478624,37.222469,42.828854,.17212513,-.52484769,.86909795,0,underidentified
I07,Any listed social program,7,M01,Log baseline CCPP population,1,primary,P75,5.717027701406222,.53742981,1.3225025,22.088739,.95225739,-41.970631,44.615639,42.828854,.030878773,-.97996157,1.0417191,0,underidentified
I08,Juntos participation,8,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.59157062,8.4688482,7.1132283,.23381956,-5.4728231,22.410519,36.959873,.22913627,-.14807472,.60634726,0,underidentified
I08,Juntos participation,8,M01,Log baseline CCPP population,1,primary,P50,5.159055299214529,-.0041603837,3.2963662,11.377874,.77203256,-19.003859,25.59659,36.959873,.089187697,-.51417542,.69255078,0,underidentified
I08,Juntos participation,8,M01,Log baseline CCPP population,1,primary,P75,5.717027701406222,.53742981,-1.4726446,17.821186,.93414217,-36.401527,33.456238,36.959873,-.039844416,-.98489314,.90520436,0,underidentified
I02,Age 15-29,2,M03,Female respondent,3,primary,Men,0,0,-14.925035,8.4031305,.075711854,-31.394869,1.5447996,45.775349,-.3260496,-.68584663,.033747412,0,weak_interaction_instruments
I02,Age 15-29,2,M03,Female respondent,3,primary,Women,1,1,-28.54409,18.056158,.11391217,-63.93351,6.8453288,45.775349,-.62356901,-1.3966798,.14954181,0,weak_interaction_instruments
I03,Secondary education or higher,3,M03,Female respondent,3,primary,Men,0,0,.14646105,13.935687,.99161458,-27.166985,27.459908,49.444603,.0029621241,-.54944289,.55536711,0,weak_interaction_instruments
I03,Secondary education or higher,3,M03,Female respondent,3,primary,Women,1,1,-27.163406,17.523235,.12110876,-61.508316,7.1815038,49.444603,-.54937047,-1.2439845,.14524342,0,weak_interaction_instruments
I04,Employed in the preceding month,4,M03,Female respondent,3,primary,Men,0,0,12.976927,5.9028821,.027920231,1.4074913,24.546364,49.91423,.25998452,.028198197,.49177083,0,weak_interaction_instruments
I04,Employed in the preceding month,4,M03,Female respondent,3,primary,Women,1,1,6.854363,19.386353,.72366387,-31.142189,44.850914,49.91423,.13732281,-.62391406,.89855969,0,weak_interaction_instruments
I05,Independent worker,5,M03,Female respondent,3,primary,Men,0,0,11.149566,11.828286,.34587592,-12.03345,34.332581,49.795662,.22390635,-.24165659,.68946928,0,weak_interaction_instruments
I05,Independent worker,5,M03,Female respondent,3,primary,Women,1,1,-2.5109119,19.929785,.89974147,-41.572571,36.550747,49.795662,-.050424311,-.83486331,.73401469,0,weak_interaction_instruments
I06,Any health insurance,6,M03,Female respondent,3,primary,Men,0,0,-20.155651,27.520737,.46393636,-74.095306,33.784,35.882141,-.56171823,-2.0649633,.94152695,0,weak_interaction_instruments
I06,Any health insurance,6,M03,Female respondent,3,primary,Women,1,1,-17.602785,19.354507,.3630901,-55.536922,20.331354,35.882141,-.49057233,-1.5477595,.56661487,0,weak_interaction_instruments
I07,Any listed social program,7,M03,Female respondent,3,primary,Men,0,0,-3.7684224,4.7398396,.42658281,-13.058337,5.5214925,42.828854,-.087987937,-.30489579,.12891991,0,weak_interaction_instruments
I07,Any listed social program,7,M03,Female respondent,3,primary,Women,1,1,24.72473,17.252665,.15183035,-9.0898733,58.53933,42.828854,.57729137,-.21223712,1.3668199,0,weak_interaction_instruments
I08,Juntos participation,8,M03,Female respondent,3,primary,Men,0,0,.073750064,1.435709,.95903194,-2.7401879,2.8876879,36.959873,.0019954089,-.074139528,.07813035,0,weak_interaction_instruments
I08,Juntos participation,8,M03,Female respondent,3,primary,Women,1,1,12.184661,12.043368,.31166622,-11.419907,35.78923,36.959873,.32967266,-.30898121,.96832657,0,weak_interaction_instruments
I01,Female,1,S01,Baseline CCPP deprivation,4,secondary,P25,.6211890243902439,-.55887467,-9.9249754,12.632265,.43205231,-34.683762,14.83381,49.92078,-.19881451,-.694776,.29714698,0,weak_interaction_instruments
I01,Female,1,S01,Baseline CCPP deprivation,4,secondary,P50,.6902332144979204,.042959813,-9.0651245,9.8278217,.35632303,-28.327301,10.197051,49.92078,-.1815902,-.56744504,.20426466,0,weak_interaction_instruments
I01,Female,1,S01,Baseline CCPP deprivation,4,secondary,P75,.766946150212565,.71164012,-8.1097708,7.9924421,.31025842,-23.774668,7.5551281,49.92078,-.1624528,-.47624794,.15134235,0,weak_interaction_instruments
I02,Age 15-29,2,S01,Baseline CCPP deprivation,4,secondary,P25,.6211890243902439,-.55887467,-45.049641,38.591377,.2430691,-120.68735,30.58807,45.851414,-.98251361,-2.6321402,.66711289,0,weak_interaction_instruments
I02,Age 15-29,2,S01,Baseline CCPP deprivation,4,secondary,P50,.6902332144979204,.042959813,-38.283272,26.80962,.15330112,-90.829163,14.262615,45.851414,-.83494204,-1.9809457,.31106162,0,weak_interaction_instruments
I02,Age 15-29,2,S01,Baseline CCPP deprivation,4,secondary,P75,.766946150212565,.71164012,-30.765368,16.41597,.06091499,-62.940079,1.4093436,45.851414,-.67097968,-1.3726965,.03073719,0,weak_interaction_instruments
I03,Secondary education or higher,3,S01,Baseline CCPP deprivation,4,secondary,P25,.6211890243902439,-.55887467,-45.96582,43.866604,.29470563,-131.94278,40.011143,49.500423,-.92859447,-2.665488,.80829906,0,weak_interaction_instruments
I03,Secondary education or higher,3,S01,Baseline CCPP deprivation,4,secondary,P50,.6902332144979204,.042959813,-32.845169,29.544794,.26626393,-90.7519,25.061562,49.500423,-.66353315,-1.8333561,.50628984,0,weak_interaction_instruments
I03,Secondary education or higher,3,S01,Baseline CCPP deprivation,4,secondary,P75,.766946150212565,.71164012,-18.267208,16.909719,.28001812,-51.409649,14.875233,49.500423,-.36903137,-1.0385699,.30050719,0,weak_interaction_instruments
I04,Employed in the preceding month,4,S01,Baseline CCPP deprivation,4,secondary,P25,.6211890243902439,-.55887467,36.953136,33.83886,.27481884,-29.369814,103.27608,49.908798,.74041325,-.58846968,2.0692961,0,weak_interaction_instruments
I04,Employed in the preceding month,4,S01,Baseline CCPP deprivation,4,secondary,P50,.6902332144979204,.042959813,24.610207,22.487324,.27377805,-19.46414,68.684555,49.908798,.49310359,-.38999414,1.3762013,0,weak_interaction_instruments
I04,Employed in the preceding month,4,S01,Baseline CCPP deprivation,4,secondary,P75,.766946150212565,.71164012,10.896348,12.407228,.37982118,-13.421372,35.214069,49.908798,.2183252,-.26891798,.70556837,0,weak_interaction_instruments
I05,Independent worker,5,S01,Baseline CCPP deprivation,4,secondary,P25,.6211890243902439,-.55887467,34.250797,39.438797,.38514563,-43.047825,111.54942,49.79105,.68789059,-.86456949,2.2403507,0,weak_interaction_instruments
I05,Independent worker,5,S01,Baseline CCPP deprivation,4,secondary,P50,.6902332144979204,.042959813,18.762671,26.305065,.47567734,-32.794308,70.319649,49.79105,.37682816,-.6586386,1.412295,0,weak_interaction_instruments
I05,Independent worker,5,S01,Baseline CCPP deprivation,4,secondary,P75,.766946150212565,.71164012,1.5542779,14.571213,.91505259,-27.004776,30.113331,49.79105,.031216009,-.54236203,.60479403,0,weak_interaction_instruments
I06,Any health insurance,6,S01,Baseline CCPP deprivation,4,secondary,P25,.6211890243902439,-.55887467,-87.343719,75.276329,.24592346,-234.88261,60.195171,36.119488,-2.4181883,-6.5029335,1.6665567,0,weak_interaction_instruments
I06,Any health insurance,6,S01,Baseline CCPP deprivation,4,secondary,P50,.6902332144979204,.042959813,-56.000278,48.270733,.2459963,-150.60918,38.608624,36.119488,-1.5504173,-4.1697488,1.0689139,0,weak_interaction_instruments
I06,Any health insurance,6,S01,Baseline CCPP deprivation,4,secondary,P75,.766946150212565,.71164012,-21.175516,20.296574,.29680708,-60.95607,18.605038,36.119488,-.58626294,-1.6876228,.51509696,0,weak_interaction_instruments
I07,Any listed social program,7,S01,Baseline CCPP deprivation,4,secondary,P25,.6211890243902439,-.55887467,-10.040728,22.329239,.65295041,-53.805233,33.723778,42.630501,-.2355292,-1.26213,.79107159,0,weak_interaction_instruments
I07,Any listed social program,7,S01,Baseline CCPP deprivation,4,secondary,P50,.6902332144979204,.042959813,2.5747464,16.136429,.87322682,-29.052073,34.201565,42.630501,.060396813,-.68148565,.80227923,0,weak_interaction_instruments
I07,Any listed social program,7,S01,Baseline CCPP deprivation,4,secondary,P75,.766946150212565,.71164012,16.591423,12.134268,.17152515,-7.1913056,40.374149,42.630501,.38919136,-.16868922,.94707191,0,weak_interaction_instruments
I08,Juntos participation,8,S01,Baseline CCPP deprivation,4,secondary,P25,.6211890243902439,-.55887467,-7.7317848,16.570467,.64078587,-40.209301,24.745733,36.770576,-.21027096,-1.0935184,.67297643,0,weak_interaction_instruments
I08,Juntos participation,8,S01,Baseline CCPP deprivation,4,secondary,P50,.6902332144979204,.042959813,.30861115,11.674103,.97890997,-22.57221,23.189432,36.770576,.0083928825,-.61386603,.63065183,0,weak_interaction_instruments
I08,Juntos participation,8,S01,Baseline CCPP deprivation,4,secondary,P75,.766946150212565,.71164012,9.2420549,7.6206374,.22521907,-5.6941204,24.17823,36.770576,.25134373,-.15485534,.65754282,0,weak_interaction_instruments
I01,Female,1,S02,Distance to corresponding district capital,5,secondary,P25,1.053072171874275,-.62257594,-5.5350308,18.20406,.76108617,-41.214329,30.144268,49.918179,-.11088207,-.82563776,.60387361,0,underidentified
I01,Female,1,S02,Distance to corresponding district capital,5,secondary,P50,1.697138367819131,.071245395,-4.3562355,10.491397,.67798102,-24.918995,16.206524,49.918179,-.087267518,-.4991968,.32466179,0,underidentified
I01,Female,1,S02,Distance to corresponding district capital,5,secondary,P75,2.278341839854977,.69734776,-3.2924933,6.1208634,.59063697,-15.289165,8.7041788,49.918179,-.065957807,-.30628455,.17436893,0,underidentified
I02,Age 15-29,2,S02,Distance to corresponding district capital,5,secondary,P25,1.053072171874275,-.62257594,-64.162704,59.624931,.28188017,-181.02542,52.700016,45.603096,-1.4069813,-3.9695864,1.1556237,0,underidentified
I02,Age 15-29,2,S02,Distance to corresponding district capital,5,secondary,P50,1.697138367819131,.071245395,-37.404301,32.910637,.25573009,-101.90797,27.099365,45.603096,-.82021409,-2.2346721,.594244,0,underidentified
I02,Age 15-29,2,S02,Distance to corresponding district capital,5,secondary,P75,2.278341839854977,.69734776,-13.257594,18.253881,.46766156,-49.034542,22.519354,45.603096,-.29071701,-1.075246,.49381199,0,underidentified
I03,Secondary education or higher,3,S02,Distance to corresponding district capital,5,secondary,P25,1.053072171874275,-.62257594,-30.349222,30.480423,.31939808,-90.089752,29.39131,49.384804,-.61454576,-1.8242404,.59514886,0,underidentified
I03,Secondary education or higher,3,S02,Distance to corresponding district capital,5,secondary,P50,1.697138367819131,.071245395,-19.604748,17.683226,.26757538,-54.263233,15.05374,49.384804,-.39697933,-1.098784,.30482534,0,underidentified
I03,Secondary education or higher,3,S02,Distance to corresponding district capital,5,secondary,P75,2.278341839854977,.69734776,-9.9089632,11.838526,.40258703,-33.112045,13.294121,49.384804,-.20064801,-.67049062,.26919457,0,underidentified
