outcome_id,outcome_var,outcome_label,paper_order,scale,moderator_id,moderator_label,moderator_order,moderator_tier,moderator_type,spec_id,estimator,estimand,weighting,cluster_rule,h,n_left,n_right,ccpp_left,ccpp_right,min_obs_cell,min_cluster_cell,clusters,support_pass,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,kp_f,sw_f_treat,sw_f_interaction,min_sw_f,underid_p,ar_p,gate_pass,gate_status,estimation_rc,p_holm,q_bh
I02,age_15_29_2017,Age 15-29,2,100,M01,Log baseline CCPP population,1,primary,continuous,small_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.005,2813,1249,26,16,1249,16,42,1,35.534599,55.329487,.52071989,-72.90921,143.97841,46.584446,.76279962,-1.5650977,3.0906971,.25944388,.62630004,.74916309,.62630004,.44463903,.038151581,0,underidentified,0,,
I02,age_15_29_2017,Age 15-29,2,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_rdhte,rdhte,assignment_hte,ccpp_equal,ccpp,.0075,3693,1760,39,22,1760,22,61,1,6.9709067,7.1088591,.32679284,-6.9622006,20.904015,46.107304,.15118879,-.15099996,.45337754,,,,,,,0,secondary_assignment_supported,0,1,
I03,moved_ccpp_2013_2017,Lives in another CCPP,3,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,3393,1760,37,22,1760,22,59,1,52.846313,47.045628,.26131046,-39.36142,145.05405,49.739082,1.0624707,-.79135799,2.9162993,1.6341536,5.8827229,4.5506668,4.5506668,.072401971,.01487079,0,underidentified,0,,
I03,moved_ccpp_2013_2017,Lives in another CCPP,3,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_district_cluster,ivreg2,fuzzy_late_interaction,ccpp_equal,district,.0075,3693,1760,39,22,1760,22,43,1,68.293701,59.694195,.252599,-48.704765,185.29218,49.802853,1.3712809,-.97795129,3.7205131,1.1921533,4.1240911,4.090404,4.090404,.087539367,.0020523439,0,underidentified,0,,
I03,moved_ccpp_2013_2017,Lives in another CCPP,3,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,3693,1760,39,22,1760,22,61,1,68.293701,59.441429,.2505872,-48.209354,184.79677,49.802853,1.3712809,-.96800387,3.7105658,1.2293546,3.8452163,3.6971681,3.6971681,.085320666,.0013233611,0,underidentified,0,1,
I03,moved_ccpp_2013_2017,Lives in another CCPP,3,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_observation_equal,ivreg2,fuzzy_late_interaction,person_equal,ccpp,.0075,3693,1760,39,22,1760,22,61,1,126.63583,460.25333,.78320581,-775.44409,1028.7158,48.536232,2.6090991,-15.976604,21.194801,.046461012,.14523512,.10377287,.10377287,.7395196,.017642459,0,underidentified,0,,
I03,moved_ccpp_2013_2017,Lives in another CCPP,3,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_score_cluster,ivreg2,fuzzy_late_interaction,ccpp_equal,score_mass,.0075,3693,1760,39,22,1760,22,46,1,68.293701,57.115063,.23180529,-43.649765,180.23717,49.802853,1.3712809,-.87645108,3.6190131,1.2579315,3.7211423,3.8988576,3.7211423,.087749392,.00025902566,0,underidentified,0,,
I03,moved_ccpp_2013_2017,Lives in another CCPP,3,100,M01,Log baseline CCPP population,1,primary,continuous,large_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.01,5079,10086,55,31,5079,31,86,1,138.51614,290.87305,.63392603,-431.58456,708.61682,49.675694,2.7884088,-8.6880426,14.26486,.16166481,.41917399,.32886466,.32886466,.57437903,.095735319,0,underidentified,0,,
I03,moved_ccpp_2013_2017,Lives in another CCPP,3,100,M01,Log baseline CCPP population,1,primary,continuous,small_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.005,2813,1249,26,16,1249,16,42,1,102.02589,202.20105,.61385638,-294.28088,498.33267,49.628063,2.0558105,-5.9297276,10.041348,.25944388,.62630004,.74916309,.62630004,.44463903,.00051989325,0,underidentified,0,,
I03,moved_ccpp_2013_2017,Lives in another CCPP,3,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_rdhte,rdhte,assignment_hte,ccpp_equal,ccpp,.0075,3693,1760,39,22,1760,22,61,1,6.9466863,24.694471,.77847624,-41.45359,55.346962,49.802853,.13948369,-.83235365,1.1113211,,,,,,,0,secondary_assignment_supported,0,1,
