outcome_id,outcome_label,paper_order,moderator_id,moderator_label,moderator_order,moderator_tier,value_label,raw_value,standardized_value,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,gate_pass,gate_status
H01,Rostered household members,1,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.59157062,.020398961,.48534933,.96647525,-.93086827,.97166616,1.8145717,.01124175,-.51299614,.53547961,0,underidentified
H01,Rostered household members,1,M01,Log baseline CCPP population,1,primary,P50,5.159055299214529,-.0041603837,.13857259,.46473053,.76556706,-.77228254,1.0494277,1.8145717,.076366551,-.42560044,.57833356,0,underidentified
H01,Rostered household members,1,M01,Log baseline CCPP population,1,primary,P75,5.717027701406222,.53742981,.24752825,.67438728,.71358788,-1.0742465,1.569303,1.8145717,.1364114,-.59201103,.86483383,0,underidentified
H02,Female household members,2,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.59157062,-.99607617,4.9177742,.83948982,-10.634736,8.6425838,30.083708,-.033110153,-.35350484,.28728452,0,underidentified
H02,Female household members,2,M01,Log baseline CCPP population,1,primary,P50,5.159055299214529,-.0041603837,9.0488663,8.099123,.26388103,-6.8251224,24.922855,30.083708,.30078959,-.22687104,.82845026,0,underidentified
H02,Female household members,2,M01,Log baseline CCPP population,1,primary,P75,5.717027701406222,.53742981,18.310268,13.885204,.18727304,-8.9042311,45.524769,30.083708,.60864401,-.29598182,1.5132699,0,underidentified
H03,Employed working-age members,3,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.59157062,5.2945995,8.209445,.51896608,-10.795618,21.384817,33.965794,.15588033,-.31783792,.62959862,0,underidentified
H03,Employed working-age members,3,M01,Log baseline CCPP population,1,primary,P50,5.159055299214529,-.0041603837,15.525518,15.650769,.32119894,-15.149426,46.200462,33.965794,.45709273,-.44602007,1.3602055,0,underidentified
H03,Employed working-age members,3,M01,Log baseline CCPP population,1,primary,P75,5.717027701406222,.53742981,24.958389,26.205437,.34088773,-26.403322,76.320099,33.965794,.73480952,-.77735031,2.2469695,0,underidentified
H04,Household has a social-program participant,4,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.59157062,7.6052923,19.579796,.69770116,-30.770401,45.980988,49.833134,.15261517,-.61746871,.92269909,0,underidentified
