prc_project_group,project_label,project_records,communities,record_share_pct,total_records
1,Productive livelihood,96,96,54.85714285714286,175
2,Social and basic services,31,31,17.71428571428571,175
3,Community and civic infrastructure,35,35,20,175
4,Management and capacity support,13,13,7.428571428571429,175
