outcome_id,outcome_var,outcome_label,family,tier,multiplicity_family,paper_order,spec_id,estimand,estimator,sample_rule,weighting,vce,p,q,kernel,bwselect,tuning_value,h_left,h_right,b_left,b_right,scale,n_input,n_eff_left,n_eff_right,ccpp_left,ccpp_right,clusters,estimate_cl,estimate_bc,standard_error,pvalue,ci_low,ci_high,control_mean,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,first_stage_cl,first_stage_bc,first_stage_se,first_stage_f,weak_robust_p,wild_cluster_p,underid_p,estimation_rc,p_holm,q_bh
D01,treat_12,Treatment through 2012: linked household universe,design,design,design,-4,common_h_ccpp_equal,first_stage,rdrobust,selected_bc_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,42355,2830,1268,43,22,65,.6720353021488912,.78113091,.23437309,.00085960561,.32176808,1.2404938,.3488372093023256,.4766866,1.638667660676245,.67500973,2.6023257,,,,,,,,0,,
D02,treat_12,Treatment through 2012: complete primary sample,design,design,design,-3,common_h_primary_ccpp_equal,first_stage,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,39074,2612,1198,43,22,65,.6720353021488913,.78113091,.23437309,.00085960561,.32176808,1.2404938,.3488372093023256,.47669363,1.638643488571694,.67499977,2.6022873,,,,,,,,0,,
D03,treat_12,Treatment through 2012: household-equal sensitivity,design,design,design,-2,common_h_primary_household_equal,first_stage,rdrobust,selected_bc_primary_household,household_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,39074,2612,1198,43,22,65,.4318748259616421,.44312185,.3477104,.20252199,-.23837803,1.1246217,.4180704441041347,.49333632,.8982145285148075,-.48319578,2.2796249,,,,,,,,0,,
D04,treat_12,Treatment through 2012: treatment-based MSE selector,design,design,design,-1,mserd_primary_ccpp_equal,first_stage,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,mserd,,.0076589577050857,.0076589575,.013703033,.013703033,1,39074,2743,1198,46,22,68,.6766634416182987,.78918386,.23244461,.00068591541,.33360076,1.244767,.3260869565217391,.46886501,1.68317925343511,.71150708,2.6548514,,,,,,,,0,,
H01,hh_members_2013,Rostered household members,demography,primary,primary_2013_household,1,common_h_covariates,fuzzy_late,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,37314,2477,1198,41,22,63,-.0927611682673932,-.085212342,.68046337,.90034389,-1.4188961,1.2484714,3.011265121813506,1.8233032,-.0467351437375007,-.77820081,.68473053,.6504989846138963,.75404376,.19892886,14.368038,,,,0,1,.9964606165885925
H01,hh_members_2013,Rostered household members,demography,primary,primary_2013_household,1,common_h_cr1_ccpp,fuzzy_late,rdrobust,selected_bc_primary_household,ccpp_equal,cr1 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,39074,2612,1198,43,22,65,.0524229678136846,.070177443,.64583224,.91347057,-1.1956304,1.3359853,3.018493100643886,1.8145717,.0386743848418901,-.65890503,.7362538,.6720353021488913,.78113091,.22292502,12.278067,,,,0,1,.9281740784645081
H01,hh_members_2013,Rostered household members,demography,primary,primary_2013_household,1,common_h_cr2_district,fuzzy_late,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_dist,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,39074,2612,1198,43,22,45,.0524229678136846,.070177443,.692711,.91930562,-1.2875112,1.4278661,3.018493100643886,1.8145717,.0386743848418901,-.70954001,.78688878,.6720353021488913,.78113091,.23184101,11.351862,,,,0,1,.9348071217536926
H01,hh_members_2013,Rostered household members,demography,primary,primary_2013_household,1,common_h_cr2_score,fuzzy_late,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_score,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,39074,2612,1198,43,22,49,.0524229678136846,.070177443,.68311077,.91817552,-1.268695,1.4090499,3.018493100643886,1.8145717,.0386743848418901,-.69917047,.7765193,.6720353021488913,.78113091,.24362636,10.280142,,,,0,1,.9331732392311096
H01,hh_members_2013,Rostered household members,demography,primary,primary_2013_household,1,common_h_cr3_ccpp,fuzzy_late,rdrobust,selected_bc_primary_household,ccpp_equal,cr3 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,39074,2612,1198,43,22,65,.0524229678136846,.070177443,.71995544,.92234939,-1.3409092,1.4812642,3.018493100643886,1.8145717,.0386743848418901,-.73896736,.81631613,.6720353021488913,.78113091,.24998967,9.7634544,,,,0,1,.9388048052787781
H01,hh_members_2013,Rostered household members,demography,primary,primary_2013_household,1,common_h_epanechnikov,fuzzy_late,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_ruv,1,2,epanechnikov,manual,,.0075,.0074999998,.0135,.0135,1,39074,2612,1198,43,22,65,-.1339307560886586,-.15878782,.70991081,.82301182,-1.5501873,1.2326118,3.018493100643886,1.8145717,-.0875070533235971,-.85429931,.67928523,.6822543313350308,.80355632,.23723973,11.472492,,,,0,1,.8967278599739075
H01,hh_members_2013,Rostered household members,demography,primary,primary_2013_household,1,common_h_fuzzy,fuzzy_late,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,39074,2612,1198,43,22,65,.0524229678136846,.070177443,.67763847,.91751713,-1.2579695,1.3983244,3.018493100643886,1.8145717,.0386743848418901,-.69325978,.77060854,.6720353021488913,.78113091,.23437309,11.107904,,,,0,1,.9332013130187988
H01,hh_members_2013,Rostered household members,demography,primary,primary_2013_household,1,common_h_household_equal,fuzzy_late,rdrobust,selected_bc_primary_household,household_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,39074,2612,1198,43,22,65,-.3902008474225017,-.5908283,.81941032,.47088435,-2.1968429,1.0151863,3.132848392036753,1.7913898,-.3298156033303441,-1.2263345,.5667032,.4318748259616421,.44312185,.3477104,1.6240932,,,,0,1,.7260568141937256
H01,hh_members_2013,Rostered household members,demography,primary,primary_2013_household,1,common_h_reduced_form,reduced_form,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,39074,2612,1198,43,22,65,.0352300850142111,.052880835,.45943031,.90836513,-.84758604,.95334768,3.018493100643886,1.8145717,.0291423231019467,-.46709976,.52538443,,,,,,,,0,1,.9204491376876831
H01,hh_members_2013,Rostered household members,demography,primary,primary_2013_household,1,common_h_uniform,fuzzy_late,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_ruv,1,2,uniform,manual,,.0075,.0074999998,.0135,.0135,1,39074,2612,1198,43,22,65,-.3291447711506341,-.58097541,.65393478,.37430936,-1.862664,.70071316,3.018493100643886,1.8145717,-.3201721925149045,-1.0265033,.38615897,.7491927348942,.8783322,.23997453,13.396375,,,,0,1,.7491047978401184
H01,hh_members_2013,Rostered household members,demography,primary,primary_2013_household,1,donut_005,fuzzy_late,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,.00005,.0075,.0074999998,.0135,.0135,1,39074,2612,1198,43,22,65,.0524229678136846,.070177443,.67763847,.91751713,-1.2579695,1.3983244,3.018493100643886,1.8145717,.0386743848418901,-.69325978,.77060854,.6720353021488913,.78113091,.23437309,11.107904,,,,0,1,.9332013130187988
H01,hh_members_2013,Rostered household members,demography,primary,primary_2013_household,1,donut_025,fuzzy_late,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,.00025,.0075,.0074999998,.0135,.0135,1,39049,2612,1173,43,21,64,-.1671422489987751,-.19557524,.93968958,.83512944,-2.037333,1.6461824,3.018493100643886,1.8145717,-.1077803816285925,-1.1227624,.90720165,.5876915334503651,.69047242,.29006919,5.6661677,,,,0,1,.9544336455208914
H01,hh_members_2013,Rostered household members,demography,primary,primary_2013_household,1,fixed_h_005,fuzzy_late,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,.005,.005,.0049999999,.0089999996,.0089999996,1,39074,2049,960,29,15,44,.7530648334541896,.99135727,.76252991,.19357023,-.50317389,2.4858885,3.02854995917578,1.825411,.5430871808957402,-.27564964,1.361824,.5965733413796614,.63612133,.28369862,5.0276551,,,,0,1,.9009705543518067
H01,hh_members_2013,Rostered household members,demography,primary,primary_2013_household,1,fixed_h_010,fuzzy_late,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,.01,.01,.0099999998,.017999999,.017999999,1,39074,3395,5088,59,31,90,-.2495208394804083,-.49228865,.74605405,.50934589,-1.9545277,.96995044,2.904123025957086,1.786869,-.2755034791312286,-1.0938282,.54282123,.5345445510201752,.61371577,.21533482,8.1228065,,,,0,1,.9020791053771973
H01,hh_members_2013,Rostered household members,demography,primary,primary_2013_household,1,outcome_cerrd_fuzzy,fuzzy_late,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,cerrd,,.0074549711194798,.0074549713,.017583881,.017583881,1,39074,2612,1136,43,21,64,.0649926802400949,-.054003444,.63187104,.93189096,-1.2924479,1.1844411,3.018493100643886,1.8145717,-.0297609866604523,-.7122606,.65273863,.6698798170851533,.71366227,.22898887,9.7130756,,,,0,1,.9318909645080566
H01,hh_members_2013,Rostered household members,demography,primary,primary_2013_household,1,outcome_mserd_fuzzy,fuzzy_late,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,mserd,,.010158332253342,.010158332,.017583881,.017583881,1,39074,3432,5088,61,31,92,-.2594733260497405,-.51330477,.76579159,.502671,-2.0142288,.98761916,2.895654511444832,1.7904395,-.2866920608287441,-1.1249912,.55160707,.5242202439269975,.60931051,.21589777,7.9649129,,,,0,1,.9957296848297119
H01,hh_members_2013,Rostered household members,demography,primary,primary_2013_household,1,outcome_mserd_p2,fuzzy_late,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_ruv,2,3,triangular,mserd,,.0158866384099416,.015886638,.02469266,.02469266,1,39074,5954,7828,86,46,132,-.4089302082004794,-.5156346,.77757418,.50724578,-2.0396521,1.0083828,2.91466060901721,1.8089254,-.2850502410419587,-1.1275491,.55744851,.6257908362207024,.70521694,.22782314,9.5818586,,,,0,1,.826958383832659
H01,hh_members_2013,Rostered household members,demography,primary,primary_2013_household,1,parametric_common_h,parametric_late,ivreg2,selected_bc_primary_household,ccpp_equal,cr1 cluster_ruv,1,2,triangular,manual,.0075,.0075,.0074999998,.0135,.0135,1,3810,2612,1198,43,22,65,.0524229678136799,.052422967,.52641499,.92067391,-.97935045,1.0841963,2.99098308946604,1.8229045,.0287579355081128,-.5372473,.59476316,,,,11.096713,.922388035866804,.92598522,.01775909,0,1,.9206739068031311
H01,hh_members_2013,Rostered household members,demography,primary,primary_2013_household,1,parametric_covariates,parametric_late,ivreg2,selected_bc_primary_household,ccpp_equal,cr1 cluster_ruv,1,2,triangular,manual,.0075,.0075,.0074999998,.0135,.0135,1,3675,2477,1198,41,22,63,-.0927611682673,-.092761166,.54919219,.86587155,-1.1691779,.98365557,2.989575540551761,1.8382806,-.0504608320183694,-.63601708,.53509545,,,,12.245104,.8643727139819278,.88597721,.012522255,0,1,.9145523309707642
H01,hh_members_2013,Rostered household members,demography,primary,primary_2013_household,1,parametric_district,parametric_late,ivreg2,selected_bc_primary_household,ccpp_equal,cr1 cluster_dist,1,2,triangular,manual,.0075,.0075,.0074999998,.0135,.0135,1,3810,2612,1198,43,22,45,.0524229678136799,.052422967,.51298869,.91860485,-.95303482,1.0578808,2.99098308946604,1.8229045,.0287579355081128,-.52281117,.58032703,,,,10.993672,.9207642090745382,,.017612692,0,1,.918604850769043
H01,hh_members_2013,Rostered household members,demography,primary,primary_2013_household,1,parametric_household_equal,parametric_late,ivreg2,selected_bc_primary_household,household_equal,cr1 cluster_ruv,1,2,triangular,manual,.0075,.0075,.0074999998,.0135,.0135,1,3810,2612,1198,43,22,65,-.3902008474225035,-.39020085,.50708669,.44159931,-1.3840908,.60368907,3.181552492589643,1.8005656,-.2167101466786445,-.76869774,.33527747,,,,2.4104862,.435892007498666,,.10211302,0,1,.6644973754882813
H02,hh_share_female_2013,Female household members,demography,primary,primary_2013_household,2,common_h_covariates,fuzzy_late,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,37314,2477,1198,41,22,63,4.837834351672296,4.923141,6.8250518,.47070411,-8.4537144,18.299997,53.60215619661537,30.228008,.1628668772043059,-.27966496,.60539871,.6504989846138963,.75404376,.19892886,14.368038,,,,0,1,.9964606165885925
H02,hh_share_female_2013,Female household members,demography,primary,primary_2013_household,2,common_h_cr1_ccpp,fuzzy_late,rdrobust,selected_bc_primary_household,ccpp_equal,cr1 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,39074,2612,1198,43,22,65,.8407413233634783,1.1237897,8.2252398,.89132565,-14.997384,17.244963,53.45593187739296,30.083708,.0373554254487329,-.49852178,.57323265,.6720353021488913,.78113091,.22292502,12.278067,,,,0,1,.9281740784645081
H02,hh_share_female_2013,Female household members,demography,primary,primary_2013_household,2,common_h_cr2_district,fuzzy_late,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_dist,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,39074,2612,1198,43,22,45,.8407413233634783,1.1237897,8.3405943,.89281952,-15.223475,17.471054,53.45593187739296,30.083708,.0373554254487329,-.50603718,.58074802,.6720353021488913,.78113091,.23184101,11.351862,,,,0,1,.9348071217536926
H02,hh_share_female_2013,Female household members,demography,primary,primary_2013_household,2,common_h_cr2_score,fuzzy_late,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_score,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,39074,2612,1198,43,22,49,.8407413233634783,1.1237897,9.0083494,.90072161,-16.532249,18.779829,53.45593187739296,30.083708,.0373554254487329,-.54954159,.6242525,.6720353021488913,.78113091,.24362636,10.280142,,,,0,1,.9331732392311096
H02,hh_share_female_2013,Female household members,demography,primary,primary_2013_household,2,common_h_cr3_ccpp,fuzzy_late,rdrobust,selected_bc_primary_household,ccpp_equal,cr3 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,39074,2612,1198,43,22,65,.8407413233634783,1.1237897,8.9204254,.89974827,-16.359922,18.607502,53.45593187739296,30.083708,.0373554254487329,-.54381335,.61852419,.6720353021488913,.78113091,.24998967,9.7634544,,,,0,1,.9388048052787781
