outcome_id,outcome_var,outcome_label,family,tier,multiplicity_family,paper_order,spec_id,estimand,estimator,sample_rule,weighting,vce,p,q,kernel,bwselect,tuning_value,h_left,h_right,b_left,b_right,scale,n_input,n_eff_left,n_eff_right,ccpp_left,ccpp_right,clusters,estimate_cl,estimate_bc,standard_error,pvalue,ci_low,ci_high,control_mean,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,first_stage_cl,first_stage_bc,first_stage_se,first_stage_f,weak_robust_p,wild_cluster_p,underid_p,estimation_rc,p_holm,q_bh
D01,treat_12,Treatment through 2012: linked person universe,design,design,design,-4,common_h_ccpp_equal,first_stage,rdrobust,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,141679,9109,4042,43,22,65,.6720353021488913,.78113091,.23437309,.00085960561,.32176808,1.2404938,.3488372093023256,.47662851,1.638867288589947,.67509192,2.6026425,,,,,,,,0,,
D02,treat_12,Treatment through 2012: complete primary sample,design,design,design,-3,common_h_primary_ccpp_equal,first_stage,rdrobust,selected_bc_primary_individual,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,98005,6075,2795,43,22,65,.6720353021488912,.78113091,.23437309,.00085960561,.32176808,1.2404938,.3488372093023256,.4766416,1.638822355527727,.67507344,2.6025712,,,,,,,,0,,
D03,treat_12,Treatment through 2012: person-equal sensitivity,design,design,design,-2,common_h_primary_person_equal,first_stage,rdrobust,selected_bc_primary_individual,person_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,98005,6075,2795,43,22,65,.44323584321065,.44066313,.35049233,.20865627,-.24628922,1.1276155,.3996707818930041,.48987097,.8995494216361775,-.50276345,2.3018622,,,,,,,,0,,
D04,treat_12,Treatment through 2012: treatment-based MSE selector,design,design,design,-1,mserd_primary_ccpp_equal,first_stage,rdrobust,selected_bc_primary_individual,ccpp_equal,cr2 cluster_ruv,1,2,triangular,mserd,,.007538237416039,.0075382376,.013544464,.013544464,1,98005,6124,2795,44,22,66,.6736748512200175,.7837441,.2338559,.00080404733,.32539499,1.2420932,.3409090909090909,.47405356,1.653281791753443,.68640977,2.6201539,,,,,,,,0,,
I01,female_2013,Female,composition,primary,primary_2013_individual,1,common_h_covariates,fuzzy_late,rdrobust,selected_bc_primary_individual,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,93460,5769,2795,41,22,63,-.9298431551416573,-1.2107927,6.6898937,.85637677,-14.322743,11.901158,52.98415760449391,49.915195,-.0242569956109626,-.28694156,.23842755,.6504989846138975,.75404376,.19892886,14.368038,,,,0,1,.8563767671585083
I01,female_2013,Female,composition,primary,primary_2013_individual,1,common_h_cr1_ccpp,fuzzy_late,rdrobust,selected_bc_primary_individual,ccpp_equal,cr1 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,98005,6075,2795,43,22,65,-4.056249181753386,-4.0285687,8.5464268,.63737327,-20.779257,12.722119,52.83855842554075,49.92347,-.0806948827038683,-.41622221,.25483245,.6720353021488912,.78113091,.22290401,12.280382,,,,0,1,.6753095984458923
I01,female_2013,Female,composition,primary,primary_2013_individual,1,common_h_cr2_district,fuzzy_late,rdrobust,selected_bc_primary_individual,ccpp_equal,cr2 cluster_dist,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,98005,6075,2795,43,22,45,-4.056249181753386,-4.0285687,8.9183254,.65147215,-21.508165,13.451029,52.83855842554075,49.92347,-.0806948827038683,-.43082273,.26943296,.6720353021488912,.78113091,.23184101,11.351862,,,,0,1,.6966848373413086
I01,female_2013,Female,composition,primary,primary_2013_individual,1,common_h_cr2_score,fuzzy_late,rdrobust,selected_bc_primary_individual,ccpp_equal,cr2 cluster_score,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,98005,6075,2795,43,22,49,-4.056249181753386,-4.0285687,9.1493483,.65971112,-21.960962,13.903825,52.83855842554075,49.92347,-.0806948827038683,-.43989256,.27850279,.6720353021488912,.78113091,.24362636,10.280142,,,,0,1,.6823222637176514
I01,female_2013,Female,composition,primary,primary_2013_individual,1,common_h_cr3_ccpp,fuzzy_late,rdrobust,selected_bc_primary_individual,ccpp_equal,cr3 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,98005,6075,2795,43,22,65,-4.056249181753386,-4.0285687,9.4897985,.67118973,-22.628231,14.571095,52.83855842554075,49.92347,-.0806948827038683,-.4532584,.29186863,.6720353021488912,.78113091,.24998967,9.7634544,,,,0,1,.7071436047554016
I01,female_2013,Female,composition,primary,primary_2013_individual,1,common_h_epanechnikov,fuzzy_late,rdrobust,selected_bc_primary_individual,ccpp_equal,cr2 cluster_ruv,1,2,epanechnikov,manual,,.0075,.0074999998,.0135,.0135,100,98005,6075,2795,43,22,65,-3.496406207395209,-3.2056587,8.1692772,.69475955,-19.217148,12.80583,52.83855842554075,49.92347,-.0642114561929746,-.38493213,.25650921,.682254331335031,.80355632,.23723973,11.472492,,,,0,1,.697455883026123
