outcome_id,outcome_var,outcome_label,family,tier,multiplicity_family,paper_order,spec_id,estimand,estimator,sample_rule,vce,p,q,kernel,bwselect,tuning_value,h_left,h_right,b_left,b_right,scale,n_input,n_eff_left,n_eff_right,clusters,estimate_cl,estimate_bc,standard_error,pvalue,ci_low,ci_high,control_mean,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,first_stage_cl,first_stage_bc,first_stage_se,first_stage_f,weak_robust_p,wild_cluster_p,estimation_rc,p_holm,q_bh
D01,treat_16,Treatment through 2016: full B/C design universe,design,design,design,-3,common_h_design,first_stage,rdrobust,selected_bc,cr2 cluster_dist,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,549,45,26,48,.8426113218373307,.98352867,.20341131,1.3303060e-06,.58484983,1.3822075,.3333333333333333,.4767313,2.063067102929172,1.2267913,2.8993428,,,,,,,0,,
D02,treat_16,Treatment through 2016: complete primary sample,design,design,design,-2,common_h_primary,first_stage,rdrobust,selected_bc_linked,cr2 cluster_dist,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,388,38,21,42,.9685028898991701,1.1223003,.15254018,1.8751584e-13,.823327,1.4212735,.3157894736842105,.47106913,2.382453471631449,1.7477839,3.017123,,,,,,,0,,
D03,treat_16,Treatment through 2016: MSE selector,design,design,design,-1,mserd_design,first_stage,rdrobust,selected_bc,cr2 cluster_dist,1,2,triangular,mserd,,.0066744908345004,.0066744909,.012872303,.012872303,1,549,41,21,44,.8405620999363695,.9561491,.2058624,3.4073155e-06,.55266619,1.359632,.2926829268292683,.46064642,2.075668127546037,1.1997622,2.9515741,,,,,,,0,,
D04,census2017_cohort_covered,Included in the INEI-assisted Census cohort,linkage,design,design,-.8,common_h_census_coverage,selection,rdrobust,selected_bc,cr2 cluster_dist,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,549,45,26,48,7.607049499684826,10.729235,11.421856,.34754595,-11.657192,33.115662,93.33333333333333,25.22625,.4253202633876982,-.46210566,1.3127462,,,,,,,0,,
D05,cpv2017_link_rate,Person linkage rate within covered CCPPs,linkage,design,design,-.7,common_h_census_link_rate,selection,rdrobust,selected_bc_census_covered,cr2 cluster_dist,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,426,42,23,44,-7.535993723258394,-8.2794437,13.819057,.54908466,-35.3643,18.80541,76.9810353207495,15.88878,-.5210874647774946,-2.2257404,1.1835654,,,,,,,0,,
P01,ln_population_2017,Log 2017 CCPP population,demography,primary,primary_2017_ccpp,1,common_h_covariates,fuzzy_late,rdrobust,selected_bc_primary,cr2 cluster_dist,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,386,37,21,41,-.3904136743160747,-.31481758,.32954639,.33942306,-.96071666,.33108145,4.717018598525425,1.0920489,-.2882815976826729,-.87973779,.30317459,.9938482079311146,1.1550653,.15873744,52.948578,,,0,1,.7656548023223877
P01,ln_population_2017,Log 2017 CCPP population,demography,primary,primary_2017_ccpp,1,common_h_cr1,fuzzy_late,rdrobust,selected_bc_primary,cr1 cluster_dist,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,388,38,21,42,-.8261910317089672,-.84999675,.61370426,.16604432,-2.052835,.35284153,4.728951898433655,1.0796992,-.7872532944695154,-1.9013027,.32679611,.9685028898991701,1.1223003,.15178649,54.670357,,,0,1,.4540623426437378
P01,ln_population_2017,Log 2017 CCPP population,demography,primary,primary_2017_ccpp,1,common_h_cr3,fuzzy_late,rdrobust,selected_bc_primary,cr3 cluster_dist,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,388,38,21,42,-.8261910317089672,-.84999675,.65205497,.19238155,-2.128001,.42800745,4.728951898433655,1.0796992,-.7872532944695154,-1.9709202,.39641359,.9685028898991701,1.1223003,.15950345,49.508297,,,0,1,.5650109052658081
P01,ln_population_2017,Log 2017 CCPP population,demography,primary,primary_2017_ccpp,1,common_h_epanechnikov,fuzzy_late,rdrobust,selected_bc_primary,cr2 cluster_dist,1,2,epanechnikov,manual,,.0075,.0074999998,.0135,.0135,1,388,38,21,42,-.6778730398621639,-.72102928,.66744268,.28001466,-2.0291929,.58713442,4.728951898433655,1.0796992,-.6678056697171134,-1.8794057,.54379439,.9729399539998459,1.1547178,.16701511,47.801353,,,0,1,.8087000846862793
P01,ln_population_2017,Log 2017 CCPP population,demography,primary,primary_2017_ccpp,1,common_h_fuzzy,fuzzy_late,rdrobust,selected_bc_primary,cr2 cluster_dist,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,388,38,21,42,-.8261910317089672,-.84999675,.62185109,.17166243,-2.0688026,.36880895,4.728951898433655,1.0796992,-.7872532944695154,-1.9160916,.34158492,.9685028898991701,1.1223003,.15254018,54.131451,,,0,1,.4857137600580851
