analysis_id,wave,level,outcome_id,outcome_var,outcome_label,family,tier,evidence_class,timing_role,treatment_var,spec_id,estimand_label,paper_role,analysis_status,reportable_late,estimator,estimand,sample_rule,weighting,vce,predictor_var,source_result_file,supporting_specs,multiplicity_family,denominator,p,q,kernel,bwselect,tuning_value,h_left,h_right,b_left,b_right,scale,n_input,n_eff_left,n_eff_right,ccpp_left,ccpp_right,clusters,estimate_cl,estimate_bc,standard_error,pvalue,ci_low,ci_high,control_mean,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,first_stage_cl,first_stage_bc,first_stage_se,first_stage_f,weak_robust_p,wild_cluster_p,underid_p,estimation_rc,p_holm,q_bh
M13C_M01,2013,ccpp,M01,share_asset_internet_2013,Households with internet access,mechanism,mechanism,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,mechanism,estimated,1,rdrobust,fuzzy_late,selected_bc_linked,ccpp_equal,cr2 cluster_dist,,rd_2013_ccpp_results.csv,common_h_reduced_form|parametric_common_h,mechanism_2013,Households with valid asset response,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,487,43,22,,,45,-.039062213,.031303491,.22410759,.88891232,-.40793931,.47054631,.10788935,.37867558,.082665719,-1.0772791,1.2426106,.67203528,.78113091,.23184101,11.351862,,,,0,.88891232,.88891232
M13C_P07,2013,ccpp,P07,labor_force_participation_2013,Labor-force participation,labor,primary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,main,estimated,1,rdrobust,fuzzy_late,selected_bc_primary,ccpp_equal,cr2 cluster_dist,,rd_2013_ccpp_results.csv,common_h_reduced_form|parametric_common_h,primary_2013_ccpp,People age 14 or older with valid activity,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,487,43,22,,,45,10.870605,13.710441,12.885168,.28730687,-11.544025,38.964905,53.618862,14.978951,.91531378,-.77068323,2.6013107,.67203528,.78113091,.23184101,11.351862,,,,0,1,.73640782
M13C_S12,2013,ccpp,S12,employment_rate_2013,Employment rate,labor,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_linked,ccpp_equal,cr2 cluster_dist,,rd_2013_ccpp_results.csv,common_h_reduced_form|parametric_common_h,labor_2013,Labor-force participants with valid activity,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,487,43,22,,,45,-.24012843,-.58503711,.99775612,.55763841,-2.5406032,1.3705289,98.74913,4.5705743,-.1280008,-.55586082,.29985926,.67203528,.78113091,.23184101,11.351862,,,,0,1,.55763841
M13C_S13,2013,ccpp,S13,unemployment_rate_2013,Unemployment rate,labor,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_linked,ccpp_equal,cr2 cluster_dist,,rd_2013_ccpp_results.csv,common_h_reduced_form|parametric_common_h,labor_2013,Labor-force participants with valid activity,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,487,43,22,,,45,.24012843,.58503711,.99775612,.55763841,-1.3705289,2.5406032,1.2508712,4.5705743,.1280008,-.29985926,.55586082,.67203528,.78113091,.23184101,11.351862,,,,0,1,.55763841
M13C_S14,2013,ccpp,S14,child_employment_rate_2013,Child employment rate,labor,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_linked,ccpp_equal,cr2 cluster_dist,,rd_2013_ccpp_results.csv,common_h_reduced_form|parametric_common_h,labor_2013,Children with valid activity,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,479,42,22,,,45,44.721191,45.369534,29.58367,.12512796,-12.613395,103.35246,4.7610965,17.261309,2.6283946,-.73073226,5.9875216,.66423833,.78120732,.23456384,11.092015,,,,0,.37538385,.37538385
M13H_H03,2013,household,H03,hh_employment_rate_outcome,Employed working-age members,labor,primary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,main,estimated,1,rdrobust,fuzzy_late,selected_bc_primary_household,ccpp_equal,cr2 cluster_ruv,,rd_2013_household_results.csv,common_h_reduced_form|parametric_common_h,primary_2013_household,Members age 14 or older with valid labor status,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,39074,2612,1198,43,22,65,7.3007813,10.416501,12.816571,.4163689,-14.703518,35.536518,56.229412,33.965794,.30667621,-.43289191,1.0462443,.67203528,.78113091,.23437309,11.107904,,,,0,1,.93320131
M13H_M01,2013,household,M01,wellbeing_connectivity_2013,Connectivity wellbeing domain,connectivity,mechanism,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,mechanism,estimated,1,rdrobust,fuzzy_late,selected_bc_household,ccpp_equal,cr2 cluster_ruv,,rd_2013_household_results.csv,common_h_reduced_form|parametric_common_h,mechanism_2013_household,Households with validated connectivity responses,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,42355,2830,1268,43,22,65,-4.6807332,-4.929657,7.1140685,.48834419,-18.872974,9.0136604,12.738315,16.744274,-.29440853,-1.1271302,.53831303,.67203528,.78113091,.23437309,11.107904,,,,0,1,.89120382
M13H_M02,2013,household,M02,asset_internet_2013,Household has internet access,connectivity,mechanism,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,mechanism,estimated,1,rdrobust,fuzzy_late,selected_bc_household,ccpp_equal,cr2 cluster_ruv,,rd_2013_household_results.csv,common_h_reduced_form|parametric_common_h,mechanism_2013_household,Households with validated connectivity responses,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,42355,2830,1268,43,22,65,-.039062213,.031303491,.22885834,.89120382,-.4172506,.47985759,.10788935,3.2834592,.0095336922,-.12707654,.14614391,.67203528,.78113091,.23437309,11.107904,,,,0,1,.89120382
M13H_M03,2013,household,M03,asset_cable_2013,Household has cable service,connectivity,mechanism,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,mechanism,estimated,1,rdrobust,fuzzy_late,selected_bc_household,ccpp_equal,cr2 cluster_ruv,,rd_2013_household_results.csv,common_h_reduced_form|parametric_common_h,mechanism_2013_household,Households with validated connectivity responses,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,42355,2830,1268,43,22,65,-.11372214,-.62851924,2.0786638,.76237237,-4.7026258,3.4455872,.76064467,8.6897974,-.072328418,-.54116631,.3965095,.67203528,.78113091,.23437309,11.107904,,,,0,1,.89120382
M13H_S16,2013,household,S16,hh_lfp_outcome,Working-age members in the labor force,labor,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_household,ccpp_equal,cr2 cluster_ruv,,rd_2013_household_results.csv,common_h_reduced_form|parametric_common_h,labor_2013_household,Members age 14 or older with valid labor status,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,42350,2830,1267,43,22,65,8.7544804,11.842542,13.019589,.36303663,-13.675385,37.36047,56.888504,33.335552,.35525262,-.41023427,1.1207395,.67203528,.78113091,.23437309,11.107904,,,,0,.72607327,.56853884
M13H_S17,2013,household,S17,hh_unemployment_rate_outcome,Unemployed household labor-force members,labor,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_household,ccpp_equal,cr2 cluster_ruv,,rd_2013_household_results.csv,common_h_reduced_form|parametric_common_h,labor_2013_household,Household labor-force members age 14 or older,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,37128,2493,1080,43,22,65,.27400303,.5452776,.95628393,.56853884,-1.3290044,2.4195597,1.0915482,9.6010885,.05679331,-.13842227,.25200889,.67203528,.78113091,.23437309,11.107904,,,,0,.72607327,.56853884
M13I_I04,2013,individual,I04,employed_2013,Employed in the preceding month,labor,primary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,main,estimated,1,rdrobust,fuzzy_late,selected_bc_primary_individual,ccpp_equal,cr2 cluster_ruv,,rd_2013_individual_results.csv,common_h_reduced_form|parametric_common_h,primary_2013_individual,Persons age 14 or older with valid education and labor status,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,98005,6075,2795,43,22,65,10.885296,13.55348,12.228649,.26771575,-10.414232,37.521194,52.996613,49.91423,.2715354,-.20864254,.75171334,.67203528,.78113091,.23437309,11.107904,,,,0,1,.68990433
M13I_I05,2013,individual,I05,worker_independent_2013,Independent worker,labor,primary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,main,estimated,1,rdrobust,fuzzy_late,selected_bc_primary_individual,ccpp_equal,cr2 cluster_ruv,,rd_2013_individual_results.csv,common_h_reduced_form|parametric_common_h,primary_2013_individual,Persons age 14 or older with valid education and labor status,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,98005,6075,2795,43,22,65,4.3637657,5.9032583,14.795694,.68990433,-23.09577,34.902287,45.439278,49.795662,.11854965,-.46381089,.70091021,.67203528,.78113091,.23437309,11.107904,,,,0,1,.68990433
M13I_S38,2013,individual,S38,labor_force_age14_2013,In the labor force,labor_status,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,,rd_2013_individual_results.csv,common_h_reduced_form|parametric_common_h,labor_status_2013_individual,Persons age 14 or older with valid labor status,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,98005,6075,2795,43,22,65,10.870605,13.710441,12.278835,.26416913,-10.355635,37.776516,53.618862,49.872971,.27490723,-.20764023,.75745469,.67203528,.78113091,.23437309,11.107904,,,,0,1,.70445102
M13I_S39,2013,individual,S39,unemployed_lf_2013,Unemployed,labor_status,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,,rd_2013_individual_results.csv,common_h_reduced_form|parametric_common_h,labor_status_2013_individual,Labor-force participants age 14 or older,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,50594,3255,1398,43,22,65,.24012843,.58503711,1.030673,.57028872,-1.4350448,2.605119,1.2508712,11.115772,.052631263,-.12909988,.23436239,.67203528,.78113091,.23437309,11.107904,,,,0,1,.83861434
M13I_S40,2013,individual,S40,worker_dependent_2013,Dependent worker,labor_status,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,,rd_2013_individual_results.csv,common_h_reduced_form|parametric_common_h,labor_status_2013_individual,Persons age 14 or older with valid labor status,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,98005,6075,2795,43,22,65,-1.9140048,-1.6566517,4.3553801,.70367146,-10.19304,6.8797359,4.7070246,21.180656,-.078215316,-.48124284,.3248122,.67203528,.78113091,.23437309,11.107904,,,,0,1,.83861434
M13I_S41,2013,individual,S41,worker_employer_2013,Employer,labor_status,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,,rd_2013_individual_results.csv,common_h_reduced_form|parametric_common_h,labor_status_2013_individual,Persons age 14 or older with valid labor status,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,98005,6075,2795,43,22,65,.026711762,.0096883262,.16152203,.95217043,-.30688903,.32626569,.027295617,1.6520489,.0058644302,-.18576267,.19749153,.67203528,.78113091,.23437309,11.107904,,,,0,1,.95217043
M13I_S42,2013,individual,S42,worker_domestic_2013,Domestic worker,labor_status,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,,rd_2013_individual_results.csv,common_h_reduced_form|parametric_common_h,labor_status_2013_individual,Persons age 14 or older with valid labor status,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,98005,6075,2795,43,22,65,-.20344898,-.18202592,.30954847,.55650753,-.78872979,.42467794,.11157217,3.3386528,-.054520767,-.23624192,.12720038,.67203528,.78113091,.23437309,11.107904,,,,0,1,.83861434
M13I_S43,2013,individual,S43,worker_unpaid_family_2013,Unpaid family worker,labor_status,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,,rd_2013_individual_results.csv,common_h_reduced_form|parametric_common_h,labor_status_2013_individual,Persons age 14 or older with valid labor status,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,98005,6075,2795,43,22,65,8.6122723,9.4792118,5.9218554,.10943973,-2.1274118,21.085835,2.7114425,16.243021,.58358669,-.13097389,1.2981473,.67203528,.78113091,.23437309,11.107904,,,,0,.87551785,.48102269
M13I_S44,2013,individual,S44,home_duties_2013,Engaged in home duties,labor_status,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,,rd_2013_individual_results.csv,common_h_reduced_form|parametric_common_h,labor_status_2013_individual,Persons age 14 or older with valid labor status,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,98005,6075,2795,43,22,65,-1.7234153,-3.9174285,11.518745,.73378754,-26.493755,18.658897,28.675516,45.228344,-.08661446,-.5857777,.41254878,.67203528,.78113091,.23437309,11.107904,,,,0,1,.83861434
M13I_S45,2013,individual,S45,student_age14_2013,Student,labor_status,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,,rd_2013_individual_results.csv,common_h_reduced_form|parametric_common_h,labor_status_2013_individual,Persons age 14 or older with valid labor status,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,98005,6075,2795,43,22,65,-9.2821922,-9.5622101,6.1544709,.12025567,-21.624752,2.5003316,14.178293,34.885609,-.27410185,-.61987603,.071672298,.67203528,.78113091,.23437309,11.107904,,,,0,.87551785,.48102269
L17C_D05,2017,ccpp,D05,cpv2017_link_rate,Person linkage rate within covered CCPPs,linkage,design,linkage_selection,linkage_outcome_2017,treat_16,common_h_census_link_rate,linkage_discontinuity,appendix,estimated,0,rdrobust,selection,selected_bc_census_covered,ccpp_equal,cr2 cluster_dist,,rd_2017_ccpp_results.csv,,design,Covered CCPPs with eligible source-cohort people,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,426,42,23,,,44,-7.5359936,-8.2794437,13.819057,.54908466,-35.3643,18.80541,76.981033,15.88878,-.52108747,-2.2257404,1.1835654,,,,,,,,0,,
M17C_M01,2017,ccpp,M01,cpv2017_share_internet,Residents exposed to household internet,connectivity,mechanism,mechanism_outcome_effect,contemporaneous_or_downstream_2017,treat_16,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,mechanism,estimated,1,rdrobust,fuzzy_late,selected_bc_linked,ccpp_equal,cr2 cluster_dist,,rd_2017_ccpp_results.csv,common_h_reduced_form|parametric_common_h,mechanism_2017_ccpp,Linked people with a valid destination-household internet response,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,424,41,23,,,44,3.0412033,3.7721393,3.6096542,.29601648,-3.3026531,10.846931,4.0250368,4.860167,.77613366,-.67953491,2.2318022,.84959763,.98690873,.21481493,21.10693,,,,0,.59203297,.59203297
M17C_M02,2017,ccpp,M02,wellbeing_connectivity_2017,Connectivity wellbeing domain,connectivity,mechanism,mechanism_outcome_effect,contemporaneous_or_downstream_2017,treat_16,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,mechanism,estimated,1,rdrobust,fuzzy_late,selected_bc_linked,ccpp_equal,cr2 cluster_dist,,rd_2017_ccpp_results.csv,common_h_reduced_form|parametric_common_h,mechanism_2017_ccpp,Source-household means with valid phone internet and cable responses,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,424,41,23,,,44,.54077053,.78849477,7.1181116,.91179633,-13.162747,14.739737,23.51231,9.5761967,.082339033,-1.3745277,1.5392058,.84959763,.98690873,.21481493,21.10693,,,,0,.91179633,.91179633
M17C_P06,2017,ccpp,P06,cpv2017_share_employed_age14,Employed residents,labor,primary,mechanism_outcome_effect,contemporaneous_or_downstream_2017,treat_16,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,main,estimated,1,rdrobust,fuzzy_late,selected_bc_primary,ccpp_equal,cr2 cluster_dist,,rd_2017_ccpp_results.csv,common_h_reduced_form|parametric_common_h,primary_2017_ccpp,Linked people age 14 or older with valid labor status,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,388,38,21,,,42,-15.337117,-14.140306,7.4377041,.057280358,-28.717937,.43732682,46.993607,15.086005,-.93731278,-1.9036144,.028988909,.96850288,1.1223003,.15254018,54.131451,,,,0,.45824286,.45824286
M17C_S14,2017,ccpp,S14,cpv2017_share_laborforce_age14,Labor-force participation,labor,secondary,mechanism_outcome_effect,contemporaneous_or_downstream_2017,treat_16,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_linked,ccpp_equal,cr2 cluster_dist,,rd_2017_ccpp_results.csv,common_h_reduced_form|parametric_common_h,labor_2017_ccpp,Linked people age 14 or older with valid labor status,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,423,41,23,,,44,-10.3971,-8.1246986,8.5923758,.34436762,-24.965446,8.7160492,50.214931,16.258133,-.49973136,-1.5355667,.53610396,.84959763,.98690873,.21481493,21.10693,,,,0,.68873525,.46855345
