analysis_id,wave,level,outcome_id,outcome_var,outcome_label,family,tier,evidence_class,timing_role,treatment_var,spec_id,estimand_label,paper_role,analysis_status,reportable_late,estimator,estimand,sample_rule,weighting,vce,predictor_var,source_result_file,supporting_specs,multiplicity_family,denominator,p,q,kernel,bwselect,tuning_value,h_left,h_right,b_left,b_right,scale,n_input,n_eff_left,n_eff_right,ccpp_left,ccpp_right,clusters,estimate_cl,estimate_bc,standard_error,pvalue,ci_low,ci_high,control_mean,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,first_stage_cl,first_stage_bc,first_stage_se,first_stage_f,weak_robust_p,wild_cluster_p,underid_p,estimation_rc,p_holm,q_bh
M17H_M03,2017,household,M03,hh_wellbeing_connect_2017,Connectivity wellbeing domain,connectivity,mechanism,mechanism_outcome_effect,contemporaneous_or_downstream_2017,treat_16,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,mechanism,estimated,1,rdrobust,fuzzy_late,selected_bc_household,ccpp_equal,cr2 cluster_ruv,,rd_2017_household_results.csv,common_h_reduced_form|parametric_common_h,mechanism_2017_household,Source households with valid linked phone internet and cable responses,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,29171,2426,1044,41,23,64,.54077053,.78849477,7.2296548,.91315174,-13.381369,14.958358,23.51231,20.396627,.038658094,-.65605789,.73337406,.84959763,.98690873,.21447773,21.173349,,,,0,1,.91315174
M17H_S14,2017,household,S14,hh_share_laborforce_age14_2017,Labor-force participation,labor,secondary,mechanism_outcome_effect,contemporaneous_or_downstream_2017,treat_16,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_household,ccpp_equal,cr2 cluster_ruv,,rd_2017_household_results.csv,common_h_reduced_form|parametric_common_h,labor_2017_household,Linked members age 14 or older with valid labor status,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,29442,2467,1038,41,23,64,-14.357439,-11.813062,9.687604,.22269249,-30.800417,7.1742926,50.385361,38.844112,-.30411461,-.79292369,.18469447,.84959763,.98690873,.21447773,21.173349,,,,0,.44538498,.44538498
M17H_S15,2017,household,S15,hh_unemployment_rate_2017,Unemployment rate,labor,secondary,mechanism_outcome_effect,contemporaneous_or_downstream_2017,treat_16,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_household,ccpp_equal,cr2 cluster_ruv,,rd_2017_household_results.csv,common_h_reduced_form|parametric_common_h,labor_2017_household,Linked household labor-force members age 14 or older,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,22173,1796,706,41,23,64,5.2017102,3.9909835,5.7624717,.48857197,-7.3032532,15.28522,5.0152545,19.746071,.20211533,-.36985856,.77408922,.84959763,.98690873,.21447773,21.173349,,,,0,.48857197,.48857197
M17H_H03,2017,household,H03,hh_share_moved_ccpp_2017,Members living in another CCPP,migration,primary,total_migration_effect,migration_outcome_2017,treat_16,common_h_fuzzy,fuzzy_late_total_migration,main,estimated,1,rdrobust,fuzzy_late,selected_bc_primary_household,ccpp_equal,cr2 cluster_ruv,,rd_2017_household_results.csv,common_h_reduced_form|parametric_common_h,primary_2017_household,Linked members with valid source and destination CCPP codes,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,24877,1832,874,39,22,61,33.429363,35.665432,21.723381,.10063159,-6.9116116,78.242477,44.296108,43.300259,.82367712,-.15962055,1.8069748,.8381294,.9636364,.21509227,20.07136,,,,0,.70442116,.40252638
M17H_S06,2017,household,S06,hh_share_moved_district_2017,Members living in another district,migration,secondary,total_migration_effect,migration_outcome_2017,treat_16,common_h_fuzzy,fuzzy_late_total_migration,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_household,ccpp_equal,cr2 cluster_ruv,,rd_2017_household_results.csv,common_h_reduced_form|parametric_common_h,migration_2017_household,Linked members with valid source and destination CCPP codes,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,28974,2250,1047,40,22,62,10.498096,11.026764,14.941092,.46050477,-18.257238,40.310764,25.978325,38.538162,.28612584,-.47374436,1.0459961,.83409709,.95667696,.21526,19.751678,,,,0,1,.79421043
M17H_S07,2017,household,S07,hh_share_moved_province_2017,Members living in another province,migration,secondary,total_migration_effect,migration_outcome_2017,treat_16,common_h_fuzzy,fuzzy_late_total_migration,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_household,ccpp_equal,cr2 cluster_ruv,,rd_2017_household_results.csv,common_h_reduced_form|parametric_common_h,migration_2017_household,Linked members with valid source and destination CCPP codes,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,28974,2250,1047,40,22,62,7.9067688,7.62818,14.486728,.59849685,-20.765285,36.021645,17.230484,32.786003,.23266576,-.63335824,1.0986898,.83409709,.95667696,.21526,19.751678,,,,0,1,.79421043
M17H_S08,2017,household,S08,hh_share_moved_department_2017,Members living in another department,migration,secondary,total_migration_effect,migration_outcome_2017,treat_16,common_h_fuzzy,fuzzy_late_total_migration,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_household,ccpp_equal,cr2 cluster_ruv,,rd_2017_household_results.csv,common_h_reduced_form|parametric_common_h,migration_2017_household,Linked members with valid source and destination CCPP codes,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,28974,2250,1047,40,22,62,6.3146324,6.4915624,13.689951,.63536835,-20.340248,33.323376,14.493191,31.050266,.20906624,-.65507483,1.0732074,.83409709,.95667696,.21526,19.751678,,,,0,1,.79421043
M17H_S09,2017,household,S09,baseline_split_destination_2017,Source household split across destination households,migration,secondary,total_migration_effect,migration_outcome_2017,treat_16,common_h_fuzzy,fuzzy_late_total_migration,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_household,ccpp_equal,cr2 cluster_ruv,,rd_2017_household_results.csv,common_h_reduced_form|parametric_common_h,migration_2017_household,All source households in the assisted cohort,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,33066,2779,1278,42,23,65,-2.9484224,-2.7302742,12.094197,.82139528,-26.434465,20.973917,28.147141,44.979778,-.060700033,-.58769661,.46629655,.85747999,.99320281,.2101917,22.327738,,,,0,1,.82139528
M17H_S10,2017,household,S10,hh_share_moved_five_years_2017,Members in another district five years earlier,migration,secondary,total_migration_effect,migration_outcome_2017,treat_16,common_h_fuzzy,fuzzy_late_total_migration,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_household,ccpp_equal,cr2 cluster_ruv,,rd_2017_household_results.csv,common_h_reduced_form|parametric_common_h,migration_2017_household,Linked members age five or older with a valid retrospective residence response,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,29691,2483,1052,41,23,64,6.7186975,6.2523065,5.8392963,.28429112,-5.1925044,17.697117,9.7220554,24.133135,.25907558,-.21516079,.73331195,.84959763,.98690873,.21447773,21.173349,,,,0,1,.79421043
L17I_D05,2017,individual,D05,census2017_linked,Source-cohort person linked to Census 2017,linkage,design,linkage_selection,linkage_outcome_2017,treat_16,common_h_census_linked,linkage_discontinuity,appendix,estimated,0,rdrobust,selection,selected_bc_source_cohort,ccpp_equal,cr2 cluster_ruv,,rd_2017_individual_results.csv,,design,All source-cohort people in the assisted cohort,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,110940,8966,4078,42,23,65,-7.5359936,-8.2794437,13.738722,.54675108,-35.206844,18.647957,76.981033,42.097759,-.19667184,-.83631158,.44296789,,,,,,,,0,,
