grid_scope,candidate_id,candidate_label,candidate_type,team_review_eligible,subset_size,candidate_n
broad_atlas,dept_pair_04_10,Departments: CAJAMARCA + LIMA,atlas_department_pair,0,2,142
broad_atlas,dept_pair_04_11,Departments: CAJAMARCA + PASCO,atlas_department_pair,0,2,451
broad_atlas,dept_pair_04_12,Departments: CAJAMARCA + PIURA,atlas_department_pair,0,2,166
broad_atlas,dept_pair_04_13,Departments: CAJAMARCA + PUNO,atlas_department_pair,0,2,316
broad_atlas,dept_pair_04_14,Departments: CAJAMARCA + SAN MARTIN,atlas_department_pair,0,2,647
broad_atlas,dept_pair_04_15,Departments: CAJAMARCA + UCAYALI,atlas_department_pair,0,2,300
broad_atlas,dept_pair_05_06,Departments: CUSCO + HUANCAVELICA,atlas_department_pair,0,2,567
broad_atlas,dept_pair_05_07,Departments: CUSCO + HUANUCO,atlas_department_pair,0,2,1004
broad_atlas,dept_pair_05_08,Departments: CUSCO + JUNIN,atlas_department_pair,0,2,904
broad_atlas,dept_pair_05_09,Departments: CUSCO + LA LIBERTAD,atlas_department_pair,0,2,164
broad_atlas,dept_pair_05_10,Departments: CUSCO + LIMA,atlas_department_pair,0,2,198
broad_atlas,dept_pair_05_11,Departments: CUSCO + PASCO,atlas_department_pair,0,2,507
broad_atlas,dept_pair_05_12,Departments: CUSCO + PIURA,atlas_department_pair,0,2,222
broad_atlas,dept_pair_05_13,Departments: CUSCO + PUNO,atlas_department_pair,0,2,372
broad_atlas,dept_pair_05_14,Departments: CUSCO + SAN MARTIN,atlas_department_pair,0,2,703
broad_atlas,dept_pair_05_15,Departments: CUSCO + UCAYALI,atlas_department_pair,0,2,356
broad_atlas,dept_pair_06_07,Departments: HUANCAVELICA + HUANUCO,atlas_department_pair,0,2,1279
broad_atlas,dept_pair_06_08,Departments: HUANCAVELICA + JUNIN,atlas_department_pair,0,2,1179
broad_atlas,dept_pair_06_09,Departments: HUANCAVELICA + LA LIBERTAD,atlas_department_pair,0,2,439
broad_atlas,dept_pair_06_10,Departments: HUANCAVELICA + LIMA,atlas_department_pair,0,2,473
broad_atlas,dept_pair_06_11,Departments: HUANCAVELICA + PASCO,atlas_department_pair,0,2,782
broad_atlas,dept_pair_06_12,Departments: HUANCAVELICA + PIURA,atlas_department_pair,0,2,497
broad_atlas,dept_pair_06_13,Departments: HUANCAVELICA + PUNO,atlas_department_pair,0,2,647
broad_atlas,dept_pair_06_14,Departments: HUANCAVELICA + SAN MARTIN,atlas_department_pair,0,2,978
broad_atlas,dept_pair_06_15,Departments: HUANCAVELICA + UCAYALI,atlas_department_pair,0,2,631
broad_atlas,dept_pair_07_08,Departments: HUANUCO + JUNIN,atlas_department_pair,0,2,1616
broad_atlas,dept_pair_07_09,Departments: HUANUCO + LA LIBERTAD,atlas_department_pair,0,2,876
broad_atlas,dept_pair_07_10,Departments: HUANUCO + LIMA,atlas_department_pair,0,2,910
broad_atlas,dept_pair_07_11,Departments: HUANUCO + PASCO,atlas_department_pair,0,2,1219
broad_atlas,dept_pair_07_12,Departments: HUANUCO + PIURA,atlas_department_pair,0,2,934
broad_atlas,dept_pair_07_13,Departments: HUANUCO + PUNO,atlas_department_pair,0,2,1084
broad_atlas,dept_pair_07_14,Departments: HUANUCO + SAN MARTIN,atlas_department_pair,0,2,1415
broad_atlas,dept_pair_07_15,Departments: HUANUCO + UCAYALI,atlas_department_pair,0,2,1068
broad_atlas,dept_pair_08_09,Departments: JUNIN + LA LIBERTAD,atlas_department_pair,0,2,776
broad_atlas,dept_pair_08_10,Departments: JUNIN + LIMA,atlas_department_pair,0,2,810
