candidate_id,candidate_label,cutoff,outcome_var,outcome_label,eligible_n,analysis_n,missing_n,n_left,n_right,unique_left,unique_right,clusters_left,clusters_right,support_ok,estimation_rc,tau_cl,tau_bc,se_rb,p_rb,ci_left,ci_right,effective_left,effective_right
conflict_belt7_departments,Combined conflict and VRAEM department belt,cd,share_literate_2007,2007 literacy share,1898,1657,241,755,902,58,279,290,310,1,0,-.0059154337144389,-.0074476276058495,.0294510179831979,.8003595233576727,-.0651705621609588,.0502753069492598,253,186
conflict_belt7_departments,Combined conflict and VRAEM department belt,cd,urban_2007,Urban community in 2007,1898,1657,241,755,902,58,279,290,310,1,0,-.0892360942113175,-.1179288435116265,.0869683638766882,.1751001115973824,-.2883837045043096,.0525260174810565,193,151
conflict_belt7_departments,Combined conflict and VRAEM department belt,cd,wellbeing_core_2007,2007 ecological wellbeing score,1898,1651,247,753,898,58,279,289,308,1,0,-.0574869300733921,-.0699211766269708,.0476291299407358,.1420950190742178,-.1632725559257914,.0234302026718498,160,124
conflict_belt7_departments,Combined conflict and VRAEM department belt,de,altitude_m,Altitude in meters,1379,1138,241,461,677,13,57,192,280,1,0,-752.8427142594082,-878.2874361485374,1537.726686364763,.5678914270662707,-3892.176359489592,2135.601487192517,63,48
conflict_belt7_departments,Combined conflict and VRAEM department belt,de,ln1p_dist_dist_capital,Log distance to district capital,1379,1138,241,461,677,13,57,192,280,1,0,5.922284739713175,6.237552934313463,1.946328937145817,.0013516650252146,2.422818315439541,10.05228755318739,61,44
conflict_belt7_departments,Combined conflict and VRAEM department belt,de,ln_population_2007,Log 2007 population,1379,1179,200,474,705,13,57,197,284,1,0,-1.854489950866849,-2.006619814617977,1.246264467132563,.1073743814522136,-4.449253285409801,.4360136561738468,63,45
conflict_belt7_departments,Combined conflict and VRAEM department belt,de,share_female_2007,2007 female population share,1379,1179,200,474,705,13,57,197,284,1,0,.044156307976273,.0409458833631327,.0595882105867814,.4919898534913584,-.0758448632901472,.1577366300164125,65,45
conflict_belt7_departments,Combined conflict and VRAEM department belt,de,share_indigenous_language_2007,2007 indigenous-language share,1379,1179,200,474,705,13,57,197,284,1,0,.171525763306474,.265671078232308,.2666460085033143,.3190831640525225,-.256945495055549,.7882876515201649,132,87
conflict_belt7_departments,Combined conflict and VRAEM department belt,de,share_literate_2007,2007 literacy share,1379,1179,200,474,705,13,57,197,284,1,0,-.0389610690053779,-.0509720788955152,.0703385933031052,.4686561571072823,-.1888331884928116,.0868890307017811,132,135
conflict_belt7_departments,Combined conflict and VRAEM department belt,de,urban_2007,Urban community in 2007,1379,1179,200,474,705,13,57,197,284,1,0,-.5488372093023255,-.5547474047052121,,,,,1,45
conflict_belt7_departments,Combined conflict and VRAEM department belt,de,wellbeing_core_2007,2007 ecological wellbeing score,1379,1177,202,474,703,13,57,197,283,1,0,-.4920204612147665,-.534664068472906,.0743914468749267,6.61474231957e-13,-.680468625105587,-.388859511840225,63,45
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,ab,altitude_m,Altitude in meters,546,470,76,217,253,188,231,103,94,1,0,-1242.454038998065,-1465.864631130733,665.2463244131063,.027560124370862,-2769.72346782807,-162.005794433396,60,35
conflict_dept_subset_073,APURIMAC + HUANCAVELICA + SAN MARTIN,ab,ln1p_dist_dist_capital,Log distance to district capital,546,470,76,217,253,188,231,103,94,1,0,.096914045430478,-.0087410902036438,.6977247037302428,.9900043692788959,-1.376256380638799,1.358774200231511,77,45
