grid_scope,candidate_id,candidate_label,candidate_type,team_review_eligible,subset_size,candidate_n,complete_2012,complete_2016,complete_2023,complete_early_mid,positive_early_mid,positive_ci_early_mid,strong_early_mid,min_tau_early_mid,min_wald_early_mid,max_p_early_mid,min_effective_early_mid,min_clusters_early_mid,complete_three_horizons,positive_three_horizons,positive_ci_three_horizons,strong_three_horizons,horizon_pattern,min_tau_three_horizons,min_wald_three_horizons,max_p_three_horizons,min_effective_three_horizons,min_clusters_three_horizons,support_ok2012,estimation_rc2012,tau_cl2012,tau_bc2012,se_rb2012,p_rb2012,ci_left2012,ci_right2012,effective_n2012,clusters_left2012,clusters_right2012,robust_wald2012,support_ok2016,estimation_rc2016,tau_cl2016,tau_bc2016,se_rb2016,p_rb2016,ci_left2016,ci_right2016,effective_n2016,clusters_left2016,clusters_right2016,robust_wald2016,support_ok2023,estimation_rc2023,tau_cl2023,tau_bc2023,se_rb2023,p_rb2023,ci_left2023,ci_right2023,effective_n2023,clusters_left2023,clusters_right2023,robust_wald2023,strong_early_2012,strong_mid_2016,strong_late_2023,late_to_early_ratio
broad_atlas,dept_11,Department: PASCO,atlas_department,0,1,361,1,1,1,1,1,0,0,.0241267927591688,.8796628035028387,.3482940514315462,52,20,1,0,0,0,weak at all horizons,-.7326188363604713,.8796628035028387,.3482940514315462,52,20,1,0,.0241267927591688,.044013872087452,.0414133653460901,.2878754262350996,-.0371548324694837,.1251825766443878,52,21,20,1.129530874860416,1,0,.1393321471970756,.2003376623980915,.2136015933007459,.3482940514315462,-.2183137675117423,.6189890923079253,73,21,20,.8796628035028387,1,0,-.7326188363604713,-.853347225936818,.1470603780038344,6.52555633865e-09,-1.14158027037718,-.5651141814964563,70,21,20,33.6713249615054,0,0,0,-30.36536367155794
broad_atlas,dept_12,Department: PIURA,atlas_department,0,1,76,0,0,0,0,0,0,0,,,,,,0,0,0,0,incomplete,,,,,,0,,,,,,,,,1,1,,0,,,,,,,,,1,1,,0,,,,,,,,,1,1,,0,0,0,
broad_atlas,dept_13,Department: PUNO,atlas_department,0,1,226,1,1,1,1,1,0,0,.0055625256750697,.0009407782788394,.975531034378642,36,21,1,1,0,0,weak at all horizons,.0055625256750697,.0009407782788394,.975531034378642,27,21,1,0,.0144138223759452,.0409358885754889,.3994782337159107,.918380933872588,-.7420270621153702,.823898839266348,36,21,23,.0105007955223464,1,0,.0055625256750697,-.0129198955153191,.4212261849392302,.975531034378642,-.8385080473414183,.81266825631078,36,21,23,.0009407782788394,1,0,.1801577102247387,.2503598473083242,.2208709795385684,.2569994158319971,-.1825393178173529,.6832590124340012,27,21,23,1.284848854208061,0,0,0,12.4989545122603
broad_atlas,dept_14,Department: SAN MARTIN,atlas_department,0,1,557,1,1,1,1,1,0,0,.0882636393765863,.0905604014194244,.7634659265609096,44,16,1,0,0,0,weak at all horizons,-.0256559676680841,.0395108005722816,.8424401303841912,44,16,1,0,.0882636393765863,.115438249264586,.3836017344634784,.7634659265609096,-.6364073346909287,.8672838332201007,44,40,16,.0905604014194244,1,0,.3691735373128685,.4312930061695671,.2819885377279848,.1261479729932788,-.1213943718303973,.9839803841695315,59,40,16,2.339278452378522,1,0,-.0256559676680841,-.0453557879806313,.2281785425027308,.8424401303841912,-.4925775133308256,.4018659373695629,66,40,16,.0395108005722816,0,0,0,-.2906742555518265
broad_atlas,dept_15,Department: UCAYALI,atlas_department,0,1,210,0,0,0,0,0,0,0,,,,,,0,0,0,0,incomplete,,,,,,0,,,,,,,,,10,6,,0,,,,,,,,,10,6,,0,,,,,,,,,10,6,,0,0,0,
broad_atlas,province_cell_001,Province cell: ANCASH BOLOGNESI,atlas_province_cell,0,1,18,0,0,0,0,0,0,0,,,,,,0,0,0,0,incomplete,,,,,,0,,,,,,,,,4,1,,0,,,,,,,,,4,1,,0,,,,,,,,,4,1,,0,0,0,
broad_atlas,province_cell_002,Province cell: ANCASH CARHUAZ,atlas_province_cell,0,1,2,0,0,0,0,0,0,0,,,,,,0,0,0,0,incomplete,,,,,,0,,,,,,,,,0,0,,0,,,,,,,,,0,0,,0,,,,,,,,,0,0,,0,0,0,
broad_atlas,province_cell_003,Province cell: ANCASH HUARAZ,atlas_province_cell,0,1,14,0,0,0,0,0,0,0,,,,,,0,0,0,0,incomplete,,,,,,0,,,,,,,,,4,1,,0,,,,,,,,,4,1,,0,,,,,,,,,4,1,,0,0,0,
broad_atlas,province_cell_004,Province cell: ANCASH HUARI,atlas_province_cell,0,1,21,0,0,0,0,0,0,0,,,,,,0,0,0,0,incomplete,,,,,,0,,,,,,,,,3,2,,0,,,,,,,,,3,2,,0,,,,,,,,,3,2,,0,0,0,
broad_atlas,province_cell_005,Province cell: ANCASH OCROS,atlas_province_cell,0,1,5,0,0,0,0,0,0,0,,,,,,0,0,0,0,incomplete,,,,,,0,,,,,,,,,1,0,,0,,,,,,,,,1,0,,0,,,,,,,,,1,0,,0,0,0,
broad_atlas,province_cell_006,Province cell: ANCASH RECUAY,atlas_province_cell,0,1,4,0,0,0,0,0,0,0,,,,,,0,0,0,0,incomplete,,,,,,0,,,,,,,,,1,0,,0,,,,,,,,,1,0,,0,,,,,,,,,1,0,,0,0,0,
broad_atlas,province_cell_007,Province cell: ANCASH YUNGAY,atlas_province_cell,0,1,1,0,0,0,0,0,0,0,,,,,,0,0,0,0,incomplete,,,,,,0,,,,,,,,,0,0,,0,,,,,,,,,0,0,,0,,,,,,,,,0,0,,0,0,0,
broad_atlas,province_cell_008,Province cell: APURIMAC ABANCAY,atlas_province_cell,0,1,64,0,0,0,0,0,0,0,,,,,,0,0,0,0,incomplete,,,,,,0,,,,,,,,,7,6,,0,,,,,,,,,7,6,,0,,,,,,,,,7,6,,0,0,0,
broad_atlas,province_cell_009,Province cell: APURIMAC ANDAHUAYLAS,atlas_province_cell,0,1,93,0,0,0,0,0,0,0,,,,,,0,0,0,0,incomplete,,,,,,0,,,,,,,,,8,10,,0,,,,,,,,,8,10,,0,,,,,,,,,8,10,,0,0,0,
broad_atlas,province_cell_010,Province cell: APURIMAC ANTABAMBA,atlas_province_cell,0,1,31,0,0,0,0,0,0,0,,,,,,0,0,0,0,incomplete,,,,,,0,,,,,,,,,1,3,,0,,,,,,,,,1,3,,0,,,,,,,,,1,3,,0,0,0,
broad_atlas,province_cell_011,Province cell: APURIMAC AYMARAES,atlas_province_cell,0,1,94,0,0,0,0,0,0,0,,,,,,0,0,0,0,incomplete,,,,,,0,,,,,,,,,8,12,,0,,,,,,,,,8,12,,0,,,,,,,,,8,12,,0,0,0,
broad_atlas,province_cell_012,Province cell: APURIMAC CHINCHEROS,atlas_province_cell,0,1,78,0,0,0,0,0,0,0,,,,,,0,0,0,0,incomplete,,,,,,0,,,,,,,,,5,6,,0,,,,,,,,,5,6,,0,,,,,,,,,5,6,,0,0,0,
broad_atlas,province_cell_013,Province cell: APURIMAC COTABAMBAS,atlas_province_cell,0,1,61,0,0,0,0,0,0,0,,,,,,0,0,0,0,incomplete,,,,,,0,,,,,,,,,6,4,,0,,,,,,,,,6,4,,0,,,,,,,,,6,4,,0,0,0,
