path,artifact_type,input_data,input_datasignature,generator,run_id,checksum,review_status
"output/tables/publication/publication_candidate_inventory.csv","table","module 04-06 manifests and publication review registry","main_effects:4180346375;heterogeneity:30814446;mechanisms:2257742701;review_registry:1696214814;","code/stata/pipeline/07_build_tables_figures.do","23Sep2026_000909","2541062245","generated_unreviewed"
"output/tables/publication/tab_publication_candidate_inventory.tex","table","module 04-06 manifests and publication review registry","main_effects:4180346375;heterogeneity:30814446;mechanisms:2257742701;review_registry:1696214814;","code/stata/pipeline/07_build_tables_figures.do","23Sep2026_000909","3204358740","generated_unreviewed"
