component_order,geographic_component,communities,census_link_share,spatial_link_share,treated_2012_share,treated_2016_share,treated_2023_share,sample_share
1,Apurimac (all provinces),486,89.506172,86.625519,37.448559,52.880657,84.567902,41.82444061962134
2,Huancavelica (all provinces),421,89.548698,87.64846,42.755344,48.456059,86.935867,36.23063683304647
3,La Convencion (Cusco),104,87.5,68.269226,19.23077,21.153847,59.615387,8.950086058519794
4,Huancayo (Junin),151,84.768211,82.119202,21.854305,25.165564,52.980129,12.99483648881239
5,Total selected geography,1162,88.726334,84.767639,35.714287,44.836491,79.087776,100
